Wallowa County,
YEAR,POPULATION
2023,"7,408"
2024,"7,408"
2025,"7,405"
2026,"7,399"
2027,"7,388"
2028,"7,374"
2029,"7,356"
2030,"7,336"
2031,"7,312"
2032,"7,284"
2033,"7,253"
2034,"7,218"
2035,"7,181"
2036,"7,142"
2037,"7,099"
2038,"7,054"
2039,"7,007"
2040,"6,959"
2041,"6,909"
2042,"6,861"
2043,"6,812"
2044,"6,765"
2045,"6,718"
2046,"6,671"
2047,"6,626"
2048,"6,583"
2049,"6,540"
2050,"6,498"
2051,"6,457"
2052,"6,416"
2053,"6,377"
2054,"6,338"
2055,"6,299"
2056,"6,259"
2057,"6,219"
2058,"6,180"
2059,"6,140"
2060,"6,100"
2061,"6,059"
2062,"6,016"
2063,"5,973"
2064,"5,928"
2065,"5,881"
2066,"5,832"
2067,"5,782"
2068,"5,732"
2069,"5,680"
2070,"5,627"
2071,"5,575"
2072,"5,524"
2073,"5,474"
,
"Population Forecasts prepared by: Population Research Center, Portland State University, June 30, 2023.",
