YEAR,POPULATION
2023,"26,970"
2024,"27,137"
2025,"27,297"
2026,"27,449"
2027,"27,596"
2028,"27,739"
2029,"27,869"
2030,"27,990"
2031,"28,103"
2032,"28,209"
2033,"28,308"
2034,"28,396"
2035,"28,474"
2036,"28,545"
2037,"28,609"
2038,"28,668"
2039,"28,721"
2040,"28,767"
2041,"28,810"
2042,"28,850"
2043,"28,888"
2044,"28,924"
2045,"28,959"
2046,"28,992"
2047,"29,024"
2048,"29,054"
2049,"29,084"
2050,"29,114"
2051,"29,142"
2052,"29,169"
2053,"29,195"
2054,"29,220"
2055,"29,243"
2056,"29,263"
2057,"29,281"
2058,"29,295"
2059,"29,306"
2060,"29,314"
2061,"29,319"
2062,"29,320"
2063,"29,318"
2064,"29,311"
2065,"29,298"
2066,"29,282"
2067,"29,260"
2068,"29,235"
2069,"29,203"
2070,"29,166"
2071,"29,124"
2072,"29,078"
2073,"29,029"
2074,"28,978"
