YEAR,POPULATION
2023,"616,308"
2024,"623,516"
2025,"630,792"
2026,"638,106"
2027,"645,423"
2028,"652,770"
2029,"659,967"
2030,"667,025"
2031,"673,955"
2032,"680,772"
2033,"687,484"
2034,"694,039"
2035,"700,452"
2036,"706,740"
2037,"712,914"
2038,"718,982"
2039,"724,930"
2040,"730,778"
2041,"736,543"
2042,"742,240"
2043,"747,882"
2044,"753,433"
2045,"758,908"
2046,"764,323"
2047,"769,689"
2048,"775,018"
2049,"780,286"
2050,"785,500"
2051,"790,663"
2052,"795,781"
2053,"800,857"
2054,"805,893"
2055,"810,893"
2056,"815,861"
2057,"820,800"
2058,"825,712"
2059,"830,605"
2060,"835,481"
2061,"840,341"
2062,"845,185"
2063,"850,015"
2064,"854,763"
2065,"859,435"
2066,"864,040"
2067,"868,584"
2068,"873,070"
2069,"877,477"
2070,"881,812"
2071,"886,079"
2072,"890,282"
2073,"894,426"
2074,"898,535"
