Wheeler County,
YEAR,POPULATION
2023,"1,470"
2024,"1,473"
2025,"1,475"
2026,"1,477"
2027,"1,479"
2028,"1,481"
2029,"1,481"
2030,"1,481"
2031,"1,479"
2032,"1,477"
2033,"1,475"
2034,"1,472"
2035,"1,469"
2036,"1,466"
2037,"1,463"
2038,"1,459"
2039,"1,455"
2040,"1,450"
2041,"1,446"
2042,"1,442"
2043,"1,438"
2044,"1,434"
2045,"1,430"
2046,"1,426"
2047,"1,422"
2048,"1,419"
2049,"1,416"
2050,"1,413"
2051,"1,410"
2052,"1,408"
2053,"1,407"
2054,"1,405"
2055,"1,405"
2056,"1,404"
2057,"1,404"
2058,"1,404"
2059,"1,404"
2060,"1,405"
2061,"1,405"
2062,"1,406"
2063,"1,407"
2064,"1,408"
2065,"1,409"
2066,"1,410"
2067,"1,411"
2068,"1,412"
2069,"1,413"
2070,"1,414"
2071,"1,415"
2072,"1,416"
2073,"1,418"
,
"Population Forecasts prepared by: Population Research Center, Portland State University, June 30, 2023.",
