YEAR,POPULATION
2023,"110,167"
2024,"111,350"
2025,"112,530"
2026,"113,700"
2027,"114,857"
2028,"116,004"
2029,"117,109"
2030,"118,182"
2031,"119,227"
2032,"120,252"
2033,"121,262"
2034,"122,229"
2035,"123,163"
2036,"124,070"
2037,"124,957"
2038,"125,830"
2039,"126,668"
2040,"127,477"
2041,"128,262"
2042,"129,027"
2043,"129,775"
2044,"130,505"
2045,"131,218"
2046,"131,915"
2047,"132,597"
2048,"133,266"
2049,"133,928"
2050,"134,583"
2051,"135,229"
2052,"135,866"
2053,"136,492"
2054,"137,111"
2055,"137,721"
2056,"138,321"
2057,"138,911"
2058,"139,491"
2059,"140,063"
2060,"140,625"
2061,"141,178"
2062,"141,720"
2063,"142,251"
2064,"142,764"
2065,"143,259"
2066,"143,738"
2067,"144,199"
2068,"144,643"
2069,"145,072"
2070,"145,487"
2071,"145,888"
2072,"146,275"
2073,"146,648"
2074,"147,009"
