YEAR,POPULATION,TYPE
1990,"70,811",Estimate
2000,"78,153",Estimate
2010,"85,579",Estimate
2020,"95,184",Estimate
2025,"98,685",Forecast
2026,"99,547",Forecast
2027,"100,392",Forecast
2028,"101,221",Forecast
2029,"102,036",Forecast
2030,"102,839",Forecast
2031,"103,602",Forecast
2032,"104,332",Forecast
2033,"105,038",Forecast
2034,"105,725",Forecast
2035,"106,415",Forecast
2036,"107,078",Forecast
2037,"107,721",Forecast
2038,"108,350",Forecast
2039,"108,973",Forecast
2040,"109,595",Forecast
2041,"110,202",Forecast
2042,"110,799",Forecast
2043,"111,387",Forecast
2044,"111,969",Forecast
2045,"112,546",Forecast
2046,"113,130",Forecast
2047,"113,719",Forecast
2048,"114,314",Forecast
2049,"114,916",Forecast
2050,"115,524",Forecast
2051,"116,150",Forecast
2052,"116,793",Forecast
2053,"117,451",Forecast
2054,"118,124",Forecast
2055,"118,811",Forecast
2056,"119,511",Forecast
2057,"120,223",Forecast
2058,"120,948",Forecast
2059,"121,686",Forecast
2060,"122,435",Forecast
2061,"123,199",Forecast
2062,"123,977",Forecast
2063,"124,769",Forecast
2064,"125,574",Forecast
2065,"126,393",Forecast
2066,"127,220",Forecast
2067,"128,056",Forecast
2068,"128,902",Forecast
2069,"129,758",Forecast
2070,"130,624",Forecast
2071,"131,501",Forecast
2072,"132,390",Forecast
2073,"133,289",Forecast
2074,"134,200",Forecast
2075,"135,124",Forecast
