YEAR,POPULATION,TYPE
1990,"282,912",Estimate
2000,"322,959",Estimate
2010,"351,715",Estimate
2020,"382,971",Estimate
2025,"385,588",Forecast
2026,"388,108",Forecast
2027,"390,492",Forecast
2028,"392,767",Forecast
2029,"394,956",Forecast
2030,"397,077",Forecast
2031,"399,032",Forecast
2032,"400,857",Forecast
2033,"402,583",Forecast
2034,"404,238",Forecast
2035,"405,881",Forecast
2036,"407,435",Forecast
2037,"408,931",Forecast
2038,"410,393",Forecast
2039,"411,846",Forecast
2040,"413,308",Forecast
2041,"414,776",Forecast
2042,"416,256",Forecast
2043,"417,757",Forecast
2044,"419,286",Forecast
2045,"420,848",Forecast
2046,"422,458",Forecast
2047,"424,116",Forecast
2048,"425,818",Forecast
2049,"427,563",Forecast
2050,"429,349",Forecast
2051,"431,201",Forecast
2052,"433,112",Forecast
2053,"435,073",Forecast
2054,"437,077",Forecast
2055,"439,118",Forecast
2056,"441,201",Forecast
2057,"443,318",Forecast
2058,"445,465",Forecast
2059,"447,636",Forecast
2060,"449,827",Forecast
2061,"452,037",Forecast
2062,"454,264",Forecast
2063,"456,506",Forecast
2064,"458,761",Forecast
2065,"461,028",Forecast
2066,"463,294",Forecast
2067,"465,564",Forecast
2068,"467,841",Forecast
2069,"470,129",Forecast
2070,"472,429",Forecast
2071,"474,766",Forecast
2072,"477,141",Forecast
2073,"479,553",Forecast
2074,"482,004",Forecast
2075,"484,495",Forecast
