YEAR,POPULATION,TYPE
1990,"38,889",Estimate
2000,"44,479",Estimate
2010,"46,034",Estimate
2020,"50,395",Estimate
2025,"51,560",Forecast
2026,"51,924",Forecast
2027,"52,260",Forecast
2028,"52,573",Forecast
2029,"52,867",Forecast
2030,"53,148",Forecast
2031,"53,391",Forecast
2032,"53,605",Forecast
2033,"53,796",Forecast
2034,"53,967",Forecast
2035,"54,127",Forecast
2036,"54,261",Forecast
2037,"54,374",Forecast
2038,"54,471",Forecast
2039,"54,555",Forecast
2040,"54,631",Forecast
2041,"54,698",Forecast
2042,"54,759",Forecast
2043,"54,814",Forecast
2044,"54,864",Forecast
2045,"54,911",Forecast
2046,"54,963",Forecast
2047,"55,020",Forecast
2048,"55,079",Forecast
2049,"55,139",Forecast
2050,"55,199",Forecast
2051,"55,272",Forecast
2052,"55,354",Forecast
2053,"55,442",Forecast
2054,"55,534",Forecast
2055,"55,628",Forecast
2056,"55,726",Forecast
2057,"55,827",Forecast
2058,"55,930",Forecast
2059,"56,033",Forecast
2060,"56,135",Forecast
2061,"56,240",Forecast
2062,"56,347",Forecast
2063,"56,454",Forecast
2064,"56,562",Forecast
2065,"56,670",Forecast
2066,"56,777",Forecast
2067,"56,884",Forecast
2068,"56,992",Forecast
2069,"57,102",Forecast
2070,"57,214",Forecast
2071,"57,335",Forecast
2072,"57,464",Forecast
2073,"57,604",Forecast
2074,"57,754",Forecast
2075,"57,917",Forecast
