YEAR,POPULATION,TYPE
1990,"91,227",Estimate
2000,"103,069",Estimate
2010,"116,672",Estimate
2020,"128,610",Estimate
2025,"132,112",Forecast
2026,"133,322",Forecast
2027,"134,489",Forecast
2028,"135,620",Forecast
2029,"136,721",Forecast
2030,"137,797",Forecast
2031,"138,817",Forecast
2032,"139,789",Forecast
2033,"140,723",Forecast
2034,"141,623",Forecast
2035,"142,502",Forecast
2036,"143,347",Forecast
2037,"144,167",Forecast
2038,"144,967",Forecast
2039,"145,752",Forecast
2040,"146,527",Forecast
2041,"147,284",Forecast
2042,"148,029",Forecast
2043,"148,768",Forecast
2044,"149,503",Forecast
2045,"150,238",Forecast
2046,"150,971",Forecast
2047,"151,703",Forecast
2048,"152,436",Forecast
2049,"153,171",Forecast
2050,"153,908",Forecast
2051,"154,652",Forecast
2052,"155,400",Forecast
2053,"156,150",Forecast
2054,"156,900",Forecast
2055,"157,650",Forecast
2056,"158,397",Forecast
2057,"159,141",Forecast
2058,"159,880",Forecast
2059,"160,614",Forecast
2060,"161,342",Forecast
2061,"162,064",Forecast
2062,"162,781",Forecast
2063,"163,491",Forecast
2064,"164,193",Forecast
2065,"164,887",Forecast
2066,"165,568",Forecast
2067,"166,239",Forecast
2068,"166,899",Forecast
2069,"167,550",Forecast
2070,"168,193",Forecast
2071,"168,827",Forecast
2072,"169,452",Forecast
2073,"170,071",Forecast
2074,"170,685",Forecast
2075,"171,295",Forecast
