YEAR,POPULATION,TYPE
1990,"228,483",Estimate
2000,"284,834",Estimate
2010,"315,335",Estimate
2020,"345,920",Estimate
2025,"351,211",Forecast
2026,"354,263",Forecast
2027,"357,220",Forecast
2028,"360,104",Forecast
2029,"362,934",Forecast
2030,"365,724",Forecast
2031,"368,396",Forecast
2032,"370,972",Forecast
2033,"373,472",Forecast
2034,"375,908",Forecast
2035,"378,309",Forecast
2036,"380,626",Forecast
2037,"382,878",Forecast
2038,"385,080",Forecast
2039,"387,244",Forecast
2040,"389,382",Forecast
2041,"391,459",Forecast
2042,"393,488",Forecast
2043,"395,480",Forecast
2044,"397,443",Forecast
2045,"399,387",Forecast
2046,"401,293",Forecast
2047,"403,166",Forecast
2048,"405,011",Forecast
2049,"406,831",Forecast
2050,"408,630",Forecast
2051,"410,412",Forecast
2052,"412,175",Forecast
2053,"413,917",Forecast
2054,"415,638",Forecast
2055,"417,336",Forecast
2056,"419,009",Forecast
2057,"420,656",Forecast
2058,"422,278",Forecast
2059,"423,872",Forecast
2060,"425,440",Forecast
2061,"426,983",Forecast
2062,"428,504",Forecast
2063,"430,002",Forecast
2064,"431,477",Forecast
2065,"432,930",Forecast
2066,"434,348",Forecast
2067,"435,732",Forecast
2068,"437,088",Forecast
2069,"438,418",Forecast
2070,"439,725",Forecast
2071,"441,015",Forecast
2072,"442,291",Forecast
2073,"443,555",Forecast
2074,"444,810",Forecast
2075,"446,056",Forecast
