YEAR,POPULATION,TYPE
1990,"49,541",Estimate
2000,"62,380",Estimate
2010,"75,403",Estimate
2020,"87,433",Estimate
2025,"90,460",Forecast
2026,"91,892",Forecast
2027,"93,305",Forecast
2028,"94,706",Forecast
2029,"96,098",Forecast
2030,"97,486",Forecast
2031,"98,843",Forecast
2032,"100,179",Forecast
2033,"101,499",Forecast
2034,"102,810",Forecast
2035,"104,128",Forecast
2036,"105,430",Forecast
2037,"106,722",Forecast
2038,"108,010",Forecast
2039,"109,297",Forecast
2040,"110,589",Forecast
2041,"111,872",Forecast
2042,"113,148",Forecast
2043,"114,419",Forecast
2044,"115,685",Forecast
2045,"116,948",Forecast
2046,"118,208",Forecast
2047,"119,466",Forecast
2048,"120,720",Forecast
2049,"121,971",Forecast
2050,"123,217",Forecast
2051,"124,464",Forecast
2052,"125,709",Forecast
2053,"126,953",Forecast
2054,"128,193",Forecast
2055,"129,431",Forecast
2056,"130,662",Forecast
2057,"131,886",Forecast
2058,"133,103",Forecast
2059,"134,313",Forecast
2060,"135,514",Forecast
2061,"136,708",Forecast
2062,"137,895",Forecast
2063,"139,074",Forecast
2064,"140,245",Forecast
2065,"141,407",Forecast
2066,"142,558",Forecast
2067,"143,700",Forecast
2068,"144,832",Forecast
2069,"145,956",Forecast
2070,"147,070",Forecast
2071,"148,177",Forecast
2072,"149,278",Forecast
2073,"150,371",Forecast
2074,"151,458",Forecast
2075,"152,538",Forecast
