Age,Reservation,Year,Population,Source
0-4,"Coos, Lower Umpqua, and Siuslaw",2000,0,Estimate
5-9,"Coos, Lower Umpqua, and Siuslaw",2000,0,Estimate
10-14,"Coos, Lower Umpqua, and Siuslaw",2000,4,Estimate
15-19,"Coos, Lower Umpqua, and Siuslaw",2000,3,Estimate
20-24,"Coos, Lower Umpqua, and Siuslaw",2000,3,Estimate
25-29,"Coos, Lower Umpqua, and Siuslaw",2000,1,Estimate
30-34,"Coos, Lower Umpqua, and Siuslaw",2000,0,Estimate
35-39,"Coos, Lower Umpqua, and Siuslaw",2000,0,Estimate
40-44,"Coos, Lower Umpqua, and Siuslaw",2000,2,Estimate
45-49,"Coos, Lower Umpqua, and Siuslaw",2000,2,Estimate
50-54,"Coos, Lower Umpqua, and Siuslaw",2000,3,Estimate
55-59,"Coos, Lower Umpqua, and Siuslaw",2000,1,Estimate
60-64,"Coos, Lower Umpqua, and Siuslaw",2000,2,Estimate
65-69,"Coos, Lower Umpqua, and Siuslaw",2000,1,Estimate
70-74,"Coos, Lower Umpqua, and Siuslaw",2000,2,Estimate
75-79,"Coos, Lower Umpqua, and Siuslaw",2000,1,Estimate
80-84,"Coos, Lower Umpqua, and Siuslaw",2000,0,Estimate
85+,"Coos, Lower Umpqua, and Siuslaw",2000,0,Estimate
0-4,Siletz,2000,33,Estimate
5-9,Siletz,2000,33,Estimate
10-14,Siletz,2000,42,Estimate
15-19,Siletz,2000,30,Estimate
20-24,Siletz,2000,20,Estimate
25-29,Siletz,2000,17,Estimate
30-34,Siletz,2000,21,Estimate
35-39,Siletz,2000,18,Estimate
40-44,Siletz,2000,33,Estimate
45-49,Siletz,2000,21,Estimate
50-54,Siletz,2000,11,Estimate
55-59,Siletz,2000,5,Estimate
60-64,Siletz,2000,9,Estimate
65-69,Siletz,2000,6,Estimate
70-74,Siletz,2000,2,Estimate
75-79,Siletz,2000,4,Estimate
80-84,Siletz,2000,2,Estimate
85+,Siletz,2000,1,Estimate
0-4,"Coos, Lower Umpqua, and Siuslaw",2010,6,Estimate
5-9,"Coos, Lower Umpqua, and Siuslaw",2010,6,Estimate
10-14,"Coos, Lower Umpqua, and Siuslaw",2010,6,Estimate
15-19,"Coos, Lower Umpqua, and Siuslaw",2010,2,Estimate
20-24,"Coos, Lower Umpqua, and Siuslaw",2010,2,Estimate
25-29,"Coos, Lower Umpqua, and Siuslaw",2010,5,Estimate
30-34,"Coos, Lower Umpqua, and Siuslaw",2010,4,Estimate
35-39,"Coos, Lower Umpqua, and Siuslaw",2010,1,Estimate
40-44,"Coos, Lower Umpqua, and Siuslaw",2010,0,Estimate
45-49,"Coos, Lower Umpqua, and Siuslaw",2010,2,Estimate
50-54,"Coos, Lower Umpqua, and Siuslaw",2010,1,Estimate
55-59,"Coos, Lower Umpqua, and Siuslaw",2010,1,Estimate
60-64,"Coos, Lower Umpqua, and Siuslaw",2010,5,Estimate
65-69,"Coos, Lower Umpqua, and Siuslaw",2010,3,Estimate
70-74,"Coos, Lower Umpqua, and Siuslaw",2010,2,Estimate
75-79,"Coos, Lower Umpqua, and Siuslaw",2010,0,Estimate
80-84,"Coos, Lower Umpqua, and Siuslaw",2010,1,Estimate
85+,"Coos, Lower Umpqua, and Siuslaw",2010,0,Estimate
0-4,Siletz,2010,57,Estimate
5-9,Siletz,2010,52,Estimate
10-14,Siletz,2010,54,Estimate
15-19,Siletz,2010,41,Estimate
20-24,Siletz,2010,22,Estimate
25-29,Siletz,2010,24,Estimate
30-34,Siletz,2010,41,Estimate
35-39,Siletz,2010,34,Estimate
40-44,Siletz,2010,33,Estimate
45-49,Siletz,2010,18,Estimate
50-54,Siletz,2010,38,Estimate
55-59,Siletz,2010,34,Estimate
60-64,Siletz,2010,27,Estimate
65-69,Siletz,2010,10,Estimate
70-74,Siletz,2010,8,Estimate
75-79,Siletz,2010,8,Estimate
80-84,Siletz,2010,4,Estimate
85+,Siletz,2010,1,Estimate
0-4,"Coos, Lower Umpqua, and Siuslaw",2020,4,Estimate
5-9,"Coos, Lower Umpqua, and Siuslaw",2020,6,Estimate
10-14,"Coos, Lower Umpqua, and Siuslaw",2020,7,Estimate
15-19,"Coos, Lower Umpqua, and Siuslaw",2020,7,Estimate
20-24,"Coos, Lower Umpqua, and Siuslaw",2020,7,Estimate
25-29,"Coos, Lower Umpqua, and Siuslaw",2020,12,Estimate
30-34,"Coos, Lower Umpqua, and Siuslaw",2020,5,Estimate
35-39,"Coos, Lower Umpqua, and Siuslaw",2020,3,Estimate
40-44,"Coos, Lower Umpqua, and Siuslaw",2020,4,Estimate
45-49,"Coos, Lower Umpqua, and Siuslaw",2020,0,Estimate
50-54,"Coos, Lower Umpqua, and Siuslaw",2020,0,Estimate
55-59,"Coos, Lower Umpqua, and Siuslaw",2020,8,Estimate
60-64,"Coos, Lower Umpqua, and Siuslaw",2020,0,Estimate
65-69,"Coos, Lower Umpqua, and Siuslaw",2020,5,Estimate
70-74,"Coos, Lower Umpqua, and Siuslaw",2020,3,Estimate
75-79,"Coos, Lower Umpqua, and Siuslaw",2020,4,Estimate
80-84,"Coos, Lower Umpqua, and Siuslaw",2020,0,Estimate
85+,"Coos, Lower Umpqua, and Siuslaw",2020,2,Estimate
0-4,Siletz,2020,53,Estimate
5-9,Siletz,2020,68,Estimate
10-14,Siletz,2020,72,Estimate
15-19,Siletz,2020,60,Estimate
20-24,Siletz,2020,54,Estimate
25-29,Siletz,2020,38,Estimate
30-34,Siletz,2020,54,Estimate
35-39,Siletz,2020,39,Estimate
40-44,Siletz,2020,43,Estimate
45-49,Siletz,2020,37,Estimate
50-54,Siletz,2020,28,Estimate
55-59,Siletz,2020,20,Estimate
60-64,Siletz,2020,42,Estimate
65-69,Siletz,2020,35,Estimate
70-74,Siletz,2020,17,Estimate
75-79,Siletz,2020,11,Estimate
80-84,Siletz,2020,7,Estimate
85+,Siletz,2020,7,Estimate
0-4,"Coos, Lower Umpqua, and Siuslaw",2030,3,Forecast
5-9,"Coos, Lower Umpqua, and Siuslaw",2030,6,Forecast
10-14,"Coos, Lower Umpqua, and Siuslaw",2030,8,Forecast
15-19,"Coos, Lower Umpqua, and Siuslaw",2030,8,Forecast
