HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,KAVALKER,PERIODKR,ORIGKERQ,SCALEKER,ORIGKRC,ORIGKERS,KAVALEL,PERIODEL,ORIGELQ,SCALEEL,ORIGELC,ORIGELS,BEGINELR,ENDELR,KAVALNG,PERIODNG,ORIGNGQ,SCALENG,ORIGNGC,ORIGNGS,BEGINNGR,ENDNGR,KAVALFO,PERIODFO,ORIGFOQ,SCALEFO,ORIGFOC,ORIGFOS,TYPEFO1,TYPEFO2,KAVALPG,PERIODLP,ORIGLPQ,SCALELP,ORIGLPC,ORIGLPS,TYPELP1,TYPELP2 

1001, 23603,9,3,7,3,2836, 2491,3,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1002, 13593,9,2,4,0, 571, 7742,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,1,1,1,0,1,11,2,9,1,1,1,0,1,11,1,9
1003,  8956,9,3,5,0,2231, 2416,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1004, 10380,9,3,7,3,2847, 2515,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1005,  7476,9,4,8,0, 231, 8029,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1006,  7181,1,3,5,0,1841, 3206,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1007, 34771,9,4,9,2, 652, 1010,4,9,9,9,9,9,99,3,5,8,0,3,41,9,9,3,5,8,0,3,61,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1008, 21891,9,1,2,1,1272, 4707,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,2,0,1,11,2,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1009, 19509,9,2,3,0,1071, 5445,4,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,2,0,1,11,2,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1010,  4332,9,4,9,2, 171, 5974,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,1,1,1,0,1,11,1,9
1011, 32608,9,4,9,0, 135, 4598,5,9,9,9,9,9,99,1,2,5,0,1,21,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1012,  9383,9,3,7,3,2846, 2483,5,9,9,9,9,9,99,3,5,8,0,3,61,9,9,3,5,8,0,3,61,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
