HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,DOLLARKR,DOLLAREL,DOLLARNG,DOLLARFO,DOLLARLP,DOLELSPH,DOLNGSPH,DOLFOSPH,DOLLPSPH,DOLKRSPH,DOLELWTH,DOLNGWTH,DOLFOWTH,DOLLPWTH,DOLKRWTH,DOLELAPL,DOLNGAPL,DOLFOAPL,DOLLPAPL,DOLKRAPL,DOLELCOL,DOLNGCOL,DOLELRFG,DOLELFZZ,DOLELCOK,DOLELDWH,DOLELCDR,DOLELLGT

1001, 23603,9,3,7,3,2836, 2491,3,   0,1147, 254,   0,   0, 343,  20,   0,   0,   0,  0,155,  0,   0,  0, 252, 79, 0,  0,0, 307,  0, 245,  0, 21, 10,  0,   58
1002, 13593,9,2,4,0, 571, 7742,2,   0, 616,   0, 201,  61,   0,   0, 201,   0,   0,  0,  0,  0,  49,  0, 445,  0, 0, 12,0, 115,  0,  56, 61,  0,  0, 75,   89
1003,  8956,9,3,5,0,2231, 2416,2,   0,1123,   0,   0,   0, 209,   0,   0,   0,   0,201,  0,  0,   0,  0, 356,  0, 0,  0,0, 253,  0, 104,  0, 23,  0, 65,   89
1004, 10380,9,3,7,3,2847, 2515,2,   0, 598, 417,   0,   0,   0, 319,   0,   0,   0,  0, 72,  0,   0,  0, 336, 26, 0,  0,0,  61,  0, 201,134,  0,  0,  0,  102
1005,  7476,9,4,8,0, 231, 8029,2,   0, 807, 507,   0,   0,   0, 507,   0,   0,   0,102,  0,  0,   0,  0, 491,  0, 0,  0,0,  49,  0, 165, 81, 44, 14, 67,   40
1006,  7181,1,3,5,0,1841, 3206,2,   0,1691,   0,   0,   0, 414,   0,   0,   0,   0,284,  0,  0,   0,  0, 630,  0, 0,  0,0, 297,  0,  66, 97, 24, 22, 75,  150
1007, 34771,9,4,9,2, 652, 1010,4,   0, 224, 190,   0,   0,   0,  86,   0,   0,   0,  0,104,  0,   0,  0, 182,  0, 0,  0,0,   0,  0,  42,  0, 23,  0,  0,   54
1008, 21891,9,1,2,1,1272, 4707,2,   0, 623,2610,   0,   0,   0,1813,   0,   0,   0,  0,642,  0,   0,  0, 468,155, 0,  0,0,  99,  0,  56, 84,  0, 17, 43,   82
1009, 19509,9,2,3,0,1071, 5445,4,   0, 147, 726,   0,   0,   0, 488,   0,   0,   0,  0,191,  0,   0,  0,  89, 47, 0,  0,0,   0,  0,  58,  0,  0,  0,  0,   17
1010,  4332,9,4,9,2, 171, 5974,2,   0, 389,   0,   0, 593,  81,   0,   0,   0,   0,  0,  0,  0, 389,  0, 255,  0, 0,204,0,   0,  0,  53,  0,  0,  0,  0,   68
1011, 32608,9,4,9,0, 135, 4598,5,   0, 280,   0,   0,   0,  76,   0,   0,   0,   0, 88,  0,  0,   0,  0,  76,  0, 0,  0,0,   0,  0,  40,  0, 12,  0,  0,   22
1012,  9383,9,3,7,3,2846, 2483,5,   0, 221, 168,   0,   0,   0,  60,   0,   0,   0,  0, 85,  0,   0,  0, 123, 23, 0,  0,0,   0,  0,  98,  0,  0,  0,  0,   32
1013, 12645,9,1,1,0, 649, 6557,2,   0,6071,1811,2251,   0,   0, 954,2251,   0,   0,  0,368,  0,   0,  0,4441,489, 0,  0,0,1237,  0, 393,513,114,104,286, 1649
1014, 13096,9,1,2,1,1337, 4722,2,   0, 870, 596,   0,   0,   0, 385,   0,   0,   0,  0,168,  0,   0,  0, 570, 43, 0,  0,0, 119,  0, 181,  0,  0,  0, 84,  130
1015,  9649,9,3,6,0,1533, 4481,2,   0, 425, 391,   0,   0,   0, 287,   0,   0,   0,  0,104,  0,   0,  0, 141,  0, 0,  0,0, 179,  0, 105,  0, 18,  0,  0,   30
1016,  9563,9,3,5,0,1649, 3335,4,  32, 842,   0,   0,   0,   0,   0,   0,   0,  32,279,  0,  0,   0,  0, 282,  0, 0,  0,0, 167,  0, 114,  0, 29,  0,  0,   76
1017, 14196,9,2,4,0,1155, 5584,5,   0, 458,   0,   0,   0, 170,   0,   0,   0,   0, 96,  0,  0,   0,  0, 104,  0, 0,  0,0,  38,  0,  50,  0, 13,  9,  0,   25
1018, 37018,9,1,2,0, 611, 6323,2,   0,1145,   0,   0,   0, 564,   0,   0,   0,   0,142,  0,  0,   0,  0, 298,  0, 0,  0,0,   0,  0, 141,  0, 14,  0, 44,   40
1019,  8350,9,3,7,0,2067, 3748,2,   0,1061, 913,   0,   0,  72, 624,   0,   0,   0,  0,226,  0,   0,  0, 377, 63, 0,  0,0, 343,  0, 269,  0,  0,  0,  0,  201
1020, 14566,9,3,6,0,1848, 3043,3,   0,2997,1356,   0,   0,   0, 774,   0,   0,   0,  0,533,  0,   0,  0,1511, 49, 0,  0,0, 848,  0, 638,  0, 90,150,  0,  465
1021, 21095,9,4,9,2, 279, 1299,2,   0, 856, 258,   0,   0,   0, 162,   0,   0,   0,  0, 66,  0,   0,  0, 421, 30, 0,  0,0,  90,  0, 345,  0,  0, 15,  0,  114
1022, 12615,9,4,8,0, 585, 5752,2,   0, 616,   0, 600,   0,   0,   0, 600,   0,   0,163,  0,  0,   0,  0, 379,  0, 0,  0,0,   0,  0,  74, 60, 30,  0, 56,   59
1023, 15062,9,1,2,0, 803, 5731,2,   0, 790,   0, 642,   0,   0,   0, 642,   0,   0,299,  0,  0,   0,  0, 384,  0, 0,  0,0,  30,  0,  77,  0, 75,  0,  0,  140
1024, 21904,9,1,2,1,1130, 4867,3,   0,1157,1631,   0,   0,   0,1248,   0,   0,   0,  0,294,  0,   0,  0, 718, 89, 0,  0,0,  91,  0, 348,  0,  0, 64,128,  143
1025, 14540,9,4,9,0, 141, 8015,4,   0,1392,   0,   0,   0, 747,   0,   0,   0,   0,290,  0,  0,   0,  0, 288,  0, 0,  0,0,   0,  0,  67,  0, 62,  0,  0,   83
1026,  4554,9,4,9,2, 123, 5930,2,   0,1426,   0,   0,   0, 567,   0,   0,   0,   0,236,  0,  0,   0,  0, 462,  0, 0,  0,0,  27,  0, 134, 78, 51, 11, 69,   50
1027, 16558,9,2,3,0, 885, 6511,5,   0, 949,   0,   0,   0, 280,   0,   0,   0,   0,314,  0,  0,   0,  0, 253,  0, 0,  0,0,  52,  0,  50,  0, 62,  0,  0,   39
1028, 22372,9,3,5,4,3581,  175,5,   0, 795,   0,   0,   0,  48,   0,   0,   0,   0, 98,  0,  0,   0,  0, 190,  0, 0,  0,0, 264,  0, 195,  0, 22, 14,  0,   21
1029,  6969,9,4,8,0,1864, 2817,2,   0, 417, 210,   0,   0,   0,  87,   0,   0,   0,  0, 96,  0,   0,  0, 340, 27, 0,  0,0,   0,  0,  77,  0,  0,  0,  0,   65
1030, 18522,9,2,3,0, 751, 6581,3,   0, 592, 850,   0,   0,  22, 850,   0,   0,   0,115,  0,  0,   0,  0, 315,  0, 0,  0,0,  78,  0,  62,  0, 17,  8, 50,   70
1031, 14540,9,2,3,0,1156, 5588,1,   0, 692, 308,   0,   0,   0, 285,   0,   0,   0,154,  0,  0,   0,  0, 266, 23, 0,  0,0, 186,  0,  86,  0,  0,  0, 58,   32
1032, 23573,9,2,3,0,1019, 5869,2,   0, 745, 922,   0,   0,   0, 689,   0,   0,   0,  0,204,  0,   0,  0, 390, 29, 0,  0,0, 258,  0,  97,  0, 28, 23,  0,   98
1033,  9183,9,2,4,0, 414, 8745,5,   0, 570,   0,   0,   0, 198,   0,   0,   0,   0,183,  0,  0,   0,  0, 119,  0, 0,  0,0,   0,  0,  70,  0, 37,  0,  0,   21
1034, 14582,9,4,8,0,1940, 2530,2,   0, 829, 254,   0,   0,   0, 168,   0,   0,   0,  0, 86,  0,   0,  0, 704,  0, 0,  0,0,   0,  0, 125,117, 80, 14,117,   43
1035, 19113,9,2,4,0, 463, 8234,5,   0, 166, 159,   0,   0,   0,  92,   0,   0,   0,  0, 55,  0,   0,  0,  81, 12, 0,  0,0,  18,  0,  67,  0,  0,  8,  0,   27
1036, 14900,9,2,4,0,1063, 5743,2,   0, 740,   0,   0, 592,   0,   0,   0, 265,   0,  0,  0,  0, 227,  0, 499,  0, 0,100,0,  57,  0, 184, 69, 59, 42,  0,  111
1037, 10365,9,2,3,0, 710, 6451,3,   0, 824, 919,   0,   0,   0, 710,   0,   0,   0,  0,209,  0,   0,  0, 701,  0, 0,  0,0,  50,  0,  73,  0, 41,  0,189,  145
1038,  8045,9,1,1,0, 701, 6324,5,   0, 477, 129,   0,   0, 221,   0,   0,   0,   0,  0,129,  0,   0,  0, 149,  0, 0,  0,0,  37,  0,  70,  0, 26,  0,  0,   37
1039, 25347,9,4,9,2, 857, 2024,2,   0, 466, 270,   0,   0,  23, 171,   0,   0,   0,  0, 99,  0,   0,  0, 356,  0, 0,  0,0,   0,  0,  87, 67, 48,  9, 42,   72
