HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,FUELH2O,ZFUELH2O,WHEATOTH,ZWHEATOT,WHEATSIZ,ZWHEATSI,WHEATAGE,ZWHEATAG,WHEATNEW,ZWHEATNE,WHEATSEL,ZWHEATSE,WHTSAME,ZWHTSAME,WHPRICE,ZWHPRICE,WHAVAIL,ZWHAVAIL,WHEFFICT,ZWHEFFIC,WHREBATE,ZWHREBAT,SHOWERS,ZSHOWERS,UAUXH2OF,ZUAUXH2O,FAUXH2O,ZFAUXH2O,CENACHP,ZCENACHP,COOLMAIN,ZCOOLMAI,COOLUNIT,ZCOOLUNI,AIRCOND,ZAIRCOND,ACHOUSE,ZACHOUSE,ACROOMS,ZACROOMS,USECENAC,ZUSECENA,FUELCOOL,ZFUELCOO,ACOTHERS,ZACOTHER,AGECENAC,ZAGECENA,ACNEW,ZACNEW,ACSELECT,ZACSELEC,ACREPLAC,ZACREPLA,ACWORK,ZACWORK,ACPRICE,ZACPRICE,ACREPUTE,ZACREPUT,ACEFFICT,ZACEFFIC,ACREBATE,ZACREBAT,NUMBERAC,ZNUMBERA,WWHTPUMP,ZWWHTPUM,WWACAGE,ZWWACAGE,USEWWAC,ZUSEWWAC,LGT12,ZLGT12,FLRLGT12,ZFLLGT12,LGT4,ZLGT4,FLRLGT4,ZFLRLGT4,LGT1,ZLGT1,FLRLGT1,ZFLRLGT1,OUTLGTNO,OUTLGTEV,OUTLGTNT,OUTLGTTI,GASLIGHT,OUTLGTHI,OUTLGTLW,OUTLGTDK
1001, 23603,9,3,7,3,2840, 2488,3, 1,0,0,0,2,0,1,0,1,0,9,0,1,0,3,0,1,0,1,0,3,0,2,0,0,0,99,0,1,0,1,0,0,0,1,0,1,0,99,0,3,0, 5,0,0,0,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 2,0, 0,0, 2,0, 0,0,0,0,1,0,0,0,1,0
1002, 13593,9,2,4,0, 579, 7379,2, 2,0,0,0,2,0,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,0,0,1,0,0,0,1,0,1,0,99,0,2,0, 5,0,0,0,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 3,0, 0,0, 2,0, 1,0,0,0,0,1,0,0,0,0
1003,  8956,9,3,5,0,2230, 2416,2, 5,0,0,0,3,0,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,1,0,1,0,0,0,1,0,1,0,99,0,3,0, 5,0,0,0,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 2,0, 0,0, 3,0, 0,0,1,0,0,1,0,0,0,0
1004, 10380,9,3,7,3,2707, 2652,2, 1,0,0,0,2,0,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,1,0,0,0,99,0,0,0,0,0,1,0,1,0,2,0, 2,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0, 1,0,0,0,3,0,1,0, 1,0, 0,0, 1,0, 0,0, 1,0, 0,0,0,0,1,0,0,0,1,0
1005,  7476,9,4,8,0, 261, 7754,2, 5,0,0,0,2,0,2,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,1,0,0,0,99,0,0,0,1,0,1,0,1,0,1,0,99,0,1,1, 5,1,0,0,3,1,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0, 1,0,0,0,3,0,0,0, 0,0,99,0, 2,0, 1,0, 0,0,99,0,1,0,0,0,0,0,0,0
1006,  7181,1,3,5,0,2144, 3118,2, 5,0,0,0,3,0,1,0,2,0,1,0,9,0,2,0,1,0,1,0,3,0,3,0,0,0,99,0,1,0,1,0,0,0,1,0,1,0,99,0,3,0, 5,0,0,0,1,0,1,0,9,0,4,0,9,0,2,0,1,0,1,0,3,0,99,0,9,0,9,0,9,0, 0,0,99,0, 9,0, 1,0, 9,0, 0,0,0,0,1,0,0,1,0,0
1007, 34771,9,4,9,2, 722,  948,4, 1,0,1,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,9,0,9,0,9,0,0,0,9,0,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 0,0,99,0, 1,0, 0,1,0,1,0,0,0,0,0,0
1008, 21891,9,1,2,1,1242, 4825,2, 1,0,0,0,3,0,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,3,0,0,0,99,0,0,0,0,0,1,0,1,0,2,0, 4,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0, 3,0,0,0,3,0,2,0, 0,0,99,0, 3,0, 0,0, 6,0, 0,0,0,1,0,1,0,0,0,0
1009, 19509,9,2,3,0,1038, 5479,4, 1,0,0,0,6,0,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,1,0,0,0,99,0,9,0,9,0,9,0,0,0,9,0,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 0,0,99,0, 2,0, 0,0,0,0,0,0,0,0,0,0
1010,  4332,9,4,9,2, 191, 5850,2, 2,0,0,0,1,0,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,3,0,0,0,99,0,9,0,9,0,9,0,0,0,9,0,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 3,0, 1,0, 2,0, 1,0,0,1,0,0,0,0,0,0
