HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,ADQINSUL,ZADQINSU,HINATTIC,ZHINATTI,WALLINS,ZWALLINS,WATERINS,ZWATERIN,PIPEINS,ZPIPEINS,DUCTS,ZDUCTS,STRIP,ZSTRIP,CAULKADD,ZCAULKAD,SETBACK,ZSETBACK,EQPTUNUP,ZEQPTUNU,TREESHAD,ZTREESHA,KLOWE,ZKLOWE,ULOWE,ZULOWE,KINSTWH,ZKINSTWH,UINSTWH,ZUINSTWH,KGRUNDHP,ZKGRUNDH,UGRUNDHP,ZUGRUNDH,KWATERHP,ZKWATERH,UWATERHP,ZUWATERH,KHTSTORE,ZKHTSTOR,UHTSTORE,ZUHTSTOR,KHPWHTR,ZKHPWHTR,UHPWHTR,ZUHPWHTR,KCOMBO,ZKCOMBO,UCOMBO,ZUCOMBO,KHALOGEN,ZKHALOGE,UHALOGEN,ZUHALOGE,KCFLUOR,ZKCFLUOR,UCFLUOR,ZUCFLUOR,DOOR1SUM,ZDOOR1SU,DOOR1GLS,ZDOOR1GL,WINDOWS,ZWINDOWS,WINDOWGL,ZWINDOWG,STRMPLAC,ZSTRMPLA,WFRAME,ZWFRAME,ORIGWIND,ZORIGWIN,WINDREP,ZWINDREP,WINDAGE,ZWINDAGE,WINDFAN,ZWINDFAN,PORTFAN,ZPORTFAN,ATTICEXH,ZATTICEX,ATTICFAN,ZATTICFA,CFAN,ZCFAN,NUMCFAN,ZNUMCFAN,HBUSNESS,ZHBUSNES,OTHWORK,ZOTHWORK,ATHOME,ZATHOME,DSMPROG,ZDSMPROG,DSMPARTI,ZDSMPART,ELPROG,ZELPROG,NGPROG,ZNGPROG,ENGAUPGM,ZENGAUPG,LDCNTPGM,ZLDCNTPG,LOADAC,ZLOADAC,LOADWH,ZLOADWH,LOADOTH,ZLOADOTH,CONSEPGM,ZCONSEPG,CONCFLOR,ZCONCFLO,CONSHOWR,ZCONSHOW,CONWH,ZCONWH,CONINS,ZCONINS,CONCAULK,ZCONCAUL,CONWIND,ZCONWIND,CONMAINH,ZCONMAIN,CONOTH,ZCONOTH,REBATPGM,ZREBATPG,MONAC,ZMONAC,MONWH,ZMONWH,MONFURN,ZMONFURN,MONFRIG,ZMONFRIG,MONCFLOR,ZMONCFLO,MONOTH,ZMONOTH,MONIMPOR,ZMONIMPO,FUELPGM,ZFUELPGM,TOU,ZTOU
1001, 23603,9,3,7,3,2836, 2491,3,2,0,1,0,1,0,0,0,0,0,6,0,1,0,1,0,0,0,1,0,1,0,0,0,9,0,0,0,9,0,1,0,1,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,1,0,0,0,0,0,9,0,0,0,9,0,11,0,2,0,1,0,1,0,0,0,9,0,9,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1002, 13593,9,2,4,0, 571, 7742,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,9,0,1,0,1,0,0,0,9,0,0,0,9,0,13,0,1,0,1,0,2,0,0,0,9,0,9,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1003,  8956,9,3,5,0,2231, 2416,2,2,0,1,0,1,0,0,0,6,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0, 9,0,1,0,0,0,1,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1004, 10380,9,3,7,3,2847, 2515,2,2,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,1,0,0,0,0,0,9,0,10,0,1,0,0,0,2,0,0,0,9,0,9,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1005,  7476,9,4,8,0, 231, 8029,2,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,9,0,1,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,1,0,1,0,1,0,2,0,12,0,2,0,1,0,2,0,0,0,9,0,9,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,6,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1006,  7181,1,3,5,0,1841, 3206,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,1,0,0,0,0,0,9,0,0,0,9,0,16,0,3,0,0,0,2,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1007, 34771,9,4,9,2, 652, 1010,4,2,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,0,1,1,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,9,0, 4,0,2,0,0,0,1,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1008, 21891,9,1,2,1,1272, 4707,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,1,0,0,0,0,0,9,0,1,0,0,0,1,0,0,0,1,0,2,0,18,0,2,0,0,0,2,0,0,0,9,0,9,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1009, 19509,9,2,3,0,1071, 5445,4,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,1,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,9,0,10,0,2,0,1,0,2,0,1,0,9,0,4,1,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1010,  4332,9,4,9,2, 171, 5974,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,9,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,9,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,9,0,1,0,2,0, 7,0,2,0,0,0,1,0,0,0,9,0,9,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
