station,ghcnd_id,date,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-HTDD-NORMAL,DLY-CLDD-NORMAL
KAST,GHCND:USW00094224,2010-01-01,42.8,48.6,37.0,22.0,0.0
KAST,GHCND:USW00094224,2010-01-02,42.9,48.7,37.1,22.0,0.0
KAST,GHCND:USW00094224,2010-01-03,43.0,48.8,37.2,22.0,0.0
KAST,GHCND:USW00094224,2010-01-04,43.1,48.9,37.2,22.0,0.0
KAST,GHCND:USW00094224,2010-01-05,43.1,48.9,37.3,22.0,0.0
KAST,GHCND:USW00094224,2010-01-06,43.2,49.0,37.4,22.0,0.0
KAST,GHCND:USW00094224,2010-01-07,43.3,49.1,37.5,22.0,0.0
KAST,GHCND:USW00094224,2010-01-08,43.4,49.2,37.6,22.0,0.0
KAST,GHCND:USW00094224,2010-01-09,43.5,49.3,37.6,22.0,0.0
KAST,GHCND:USW00094224,2010-01-10,43.5,49.4,37.7,21.0,0.0
KAST,GHCND:USW00094224,2010-01-11,43.6,49.4,37.8,21.0,0.0
KAST,GHCND:USW00094224,2010-01-12,43.7,49.5,37.8,21.0,0.0
KAST,GHCND:USW00094224,2010-01-13,43.7,49.6,37.8,21.0,0.0
KAST,GHCND:USW00094224,2010-01-14,43.8,49.7,37.9,21.0,0.0
KAST,GHCND:USW00094224,2010-01-15,43.9,49.8,37.9,21.0,0.0
KAST,GHCND:USW00094224,2010-01-16,43.9,49.9,37.9,21.0,0.0
KAST,GHCND:USW00094224,2010-01-17,44.0,49.9,38.0,21.0,0.0
KAST,GHCND:USW00094224,2010-01-18,44.0,50.0,38.0,21.0,0.0
KAST,GHCND:USW00094224,2010-01-19,44.0,50.1,38.0,21.0,0.0
KAST,GHCND:USW00094224,2010-01-20,44.1,50.2,38.0,21.0,0.0
KAST,GHCND:USW00094224,2010-01-21,44.1,50.2,38.0,21.0,0.0
KAST,GHCND:USW00094224,2010-01-22,44.1,50.3,38.0,21.0,0.0
