station,ghcnd_id,month,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-HTDD-NORMAL,MLY-CLDD-NORMAL
KAST,GHCND:USW00094224,1,43.8,49.8,37.7,659.0,0.0
KAST,GHCND:USW00094224,2,44.4,51.6,37.2,577.0,0.0
KAST,GHCND:USW00094224,3,46.4,53.8,38.9,578.0,0.0
KAST,GHCND:USW00094224,4,48.7,56.4,41.0,489.0,-7777.0
KAST,GHCND:USW00094224,5,53.0,60.4,45.6,372.0,-7777.0
KAST,GHCND:USW00094224,6,57.0,63.9,50.0,242.0,-7777.0
KAST,GHCND:USW00094224,7,60.3,67.4,53.1,150.0,3.0
KAST,GHCND:USW00094224,8,60.9,68.7,53.1,131.0,4.0
KAST,GHCND:USW00094224,9,58.5,67.6,49.4,200.0,5.0
KAST,GHCND:USW00094224,10,52.6,60.9,44.2,386.0,-7777.0
KAST,GHCND:USW00094224,11,46.8,53.5,40.1,546.0,0.0
KAST,GHCND:USW00094224,12,42.7,48.7,36.6,693.0,0.0
