station,ghcnd_id,note,date,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-HTDD-NORMAL,DLY-CLDD-NORMAL
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-01,39.3,45.4,33.2,26.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-02,39.4,45.5,33.3,26.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-03,39.5,45.6,33.4,26.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-04,39.6,45.7,33.5,25.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-05,39.7,45.8,33.6,25.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-06,39.8,45.9,33.7,25.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-07,39.9,46.0,33.7,25.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-08,40.0,46.1,33.8,25.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-09,40.1,46.2,33.9,25.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-10,40.2,46.3,34.0,25.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-11,40.3,46.5,34.1,25.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-12,40.4,46.6,34.2,25.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-13,40.5,46.7,34.2,25.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-14,40.6,46.8,34.3,24.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-15,40.7,47.0,34.3,24.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-16,40.7,47.1,34.4,24.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-17,40.8,47.2,34.4,24.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-18,40.9,47.4,34.5,24.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-19,41.0,47.5,34.5,24.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-20,41.1,47.6,34.6,24.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-21,41.2,47.7,34.6,24.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-22,41.2,47.8,34.6,24.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-23,41.3,48.0,34.6,24.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-24,41.4,48.1,34.6,24.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-25,41.4,48.2,34.6,24.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-26,41.5,48.3,34.6,24.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-27,41.5,48.4,34.6,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-28,41.6,48.5,34.6,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-29,41.6,48.7,34.6,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-30,41.7,48.8,34.6,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-01-31,41.7,48.9,34.6,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-01,41.8,49.0,34.5,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-02,41.8,49.1,34.5,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-03,41.9,49.2,34.5,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-04,41.9,49.4,34.5,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-05,42.0,49.5,34.5,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-06,42.0,49.6,34.5,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-07,42.1,49.7,34.4,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-08,42.1,49.9,34.4,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-09,42.2,50.0,34.4,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-10,42.3,50.1,34.4,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-11,42.4,50.3,34.4,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-12,42.4,50.4,34.4,23.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-13,42.5,50.6,34.5,22.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-14,42.6,50.7,34.5,22.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-15,42.7,50.9,34.5,22.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-16,42.8,51.0,34.6,22.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-17,42.9,51.2,34.6,22.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-18,43.0,51.3,34.6,22.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-19,43.1,51.5,34.7,22.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-20,43.2,51.7,34.8,22.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-21,43.4,51.9,34.8,22.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-22,43.5,52.0,34.9,22.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-23,43.6,52.2,35.0,21.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-24,43.8,52.4,35.1,21.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-25,43.9,52.6,35.2,21.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-26,44.0,52.8,35.3,21.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-27,44.2,53.0,35.4,21.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2010-02-28,44.4,53.2,35.5,21.0,0.0
