station,ghcnd_id,note,month,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-HTDD-NORMAL,MLY-CLDD-NORMAL
KCVO,GHCND:USC00351862,"Corvallis State University, OR",1,40.6,47.1,34.2,755.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",2,42.8,50.9,34.7,622.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",3,46.7,56.1,37.3,567.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",4,50.2,60.8,39.6,444.0,-7777.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",5,55.6,67.2,44.1,297.0,7.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",6,60.8,73.2,48.5,150.0,26.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",7,66.7,81.7,51.8,40.0,94.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",8,66.9,82.6,51.1,35.0,93.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",9,62.3,77.0,47.7,115.0,36.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",10,53.2,64.7,41.7,367.0,1.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",11,45.2,52.6,37.9,592.0,0.0
KCVO,GHCND:USC00351862,"Corvallis State University, OR",12,39.6,45.8,33.4,787.0,0.0
