station,ghcnd_id,note,date,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-HTDD-NORMAL,DLY-CLDD-NORMAL
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2010-01-01,35.0,39.9,30.1,30.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2010-01-02,35.1,40.0,30.1,30.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2010-01-03,35.2,40.1,30.2,30.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2010-01-04,35.3,40.2,30.3,30.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2010-01-05,35.4,40.4,30.4,30.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2010-01-06,35.5,40.5,30.5,29.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2010-01-07,35.6,40.7,30.6,29.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2010-01-08,35.8,40.9,30.6,29.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2010-01-09,35.9,41.0,30.7,29.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2010-01-10,36.0,41.2,30.8,29.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2010-01-11,36.1,41.4,30.9,29.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2010-01-12,36.2,41.5,31.0,29.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2010-01-13,36.4,41.7,31.0,29.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2010-01-14,36.5,41.9,31.1,29.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2010-01-15,36.6,42.0,31.1,28.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2010-01-16,36.7,42.2,31.2,28.0,0.0
