station,ghcnd_id,note,month,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-HTDD-NORMAL,MLY-CLDD-NORMAL
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",1,36.6,42.2,31.0,880.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",2,39.9,48.0,31.8,703.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",3,46.8,57.0,36.6,564.0,-7777.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",4,52.9,64.4,41.5,363.0,2.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",5,60.8,72.9,48.6,168.0,36.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",6,67.0,79.1,54.8,46.0,105.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",7,74.0,87.5,60.4,4.0,281.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",8,73.4,87.3,59.5,3.0,263.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",9,65.8,80.1,51.6,63.0,89.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",10,54.0,65.7,42.3,345.0,4.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",11,42.6,50.0,35.3,670.0,0.0
KDLS,GHCND:USW00024219,"Dallesport Airport, WA (proxy for The Dalles, OR)",12,35.2,40.3,30.2,922.0,0.0
