station,ghcnd_id,month,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-HTDD-NORMAL,MLY-CLDD-NORMAL
KEUG,GHCND:USW00024221,1,40.7,47.2,34.2,753.0,0.0
KEUG,GHCND:USW00024221,2,42.9,51.1,34.8,617.0,0.0
KEUG,GHCND:USW00024221,3,46.7,56.2,37.1,569.0,0.0
KEUG,GHCND:USW00024221,4,50.2,60.8,39.5,446.0,-7777.0
KEUG,GHCND:USW00024221,5,55.3,67.0,43.5,307.0,5.0
KEUG,GHCND:USW00024221,6,60.4,73.2,47.6,157.0,19.0
KEUG,GHCND:USW00024221,7,66.8,82.3,51.4,36.0,93.0
KEUG,GHCND:USW00024221,8,66.9,82.8,51.1,31.0,91.0
KEUG,GHCND:USW00024221,9,61.9,76.9,47.0,121.0,30.0
KEUG,GHCND:USW00024221,10,52.7,64.2,41.2,382.0,1.0
KEUG,GHCND:USW00024221,11,44.9,52.2,37.6,603.0,0.0
KEUG,GHCND:USW00024221,12,39.7,45.6,33.8,784.0,0.0
