station,ghcnd_id,date,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-HTDD-NORMAL,DLY-CLDD-NORMAL
KHIO,GHCND:USW00094261,2010-01-01,38.3,44.8,31.9,27.0,0.0
KHIO,GHCND:USW00094261,2010-01-02,38.5,44.9,32.0,27.0,0.0
KHIO,GHCND:USW00094261,2010-01-03,38.6,45.0,32.1,26.0,0.0
KHIO,GHCND:USW00094261,2010-01-04,38.7,45.2,32.2,26.0,0.0
KHIO,GHCND:USW00094261,2010-01-05,38.8,45.3,32.3,26.0,0.0
KHIO,GHCND:USW00094261,2010-01-06,38.9,45.4,32.4,26.0,0.0
KHIO,GHCND:USW00094261,2010-01-07,39.1,45.6,32.6,26.0,0.0
KHIO,GHCND:USW00094261,2010-01-08,39.2,45.7,32.7,26.0,0.0
KHIO,GHCND:USW00094261,2010-01-09,39.3,45.9,32.8,26.0,0.0
KHIO,GHCND:USW00094261,2010-01-10,39.5,46.0,32.9,26.0,0.0
KHIO,GHCND:USW00094261,2010-01-11,39.6,46.2,33.0,25.0,0.0
KHIO,GHCND:USW00094261,2010-01-12,39.7,46.3,33.1,25.0,0.0
KHIO,GHCND:USW00094261,2010-01-13,39.9,46.5,33.2,25.0,0.0
KHIO,GHCND:USW00094261,2010-01-14,40.0,46.6,33.3,25.0,0.0
KHIO,GHCND:USW00094261,2010-01-15,40.1,46.8,33.4,25.0,0.0
KHIO,GHCND:USW00094261,2010-01-16,40.2,46.9,33.5,25.0,0.0
KHIO,GHCND:USW00094261,2010-01-17,40.3,47.1,33.6,25.0,0.0
KHIO,GHCND:USW00094261,2010-01-18,40.5,47.2,33.7,25.0,0.0
KHIO,GHCND:USW00094261,2010-01-19,40.6,47.4,33.8,24.0,0.0
KHIO,GHCND:USW00094261,2010-01-20,40.7,47.5,33.8,24.0,0.0
KHIO,GHCND:USW00094261,2010-01-21,40.8,47.7,33.9,24.0,0.0
KHIO,GHCND:USW00094261,2010-01-22,40.9,47.8,33.9,24.0,0.0
KHIO,GHCND:USW00094261,2010-01-23,40.9,47.9,34.0,24.0,0.0
KHIO,GHCND:USW00094261,2010-01-24,41.0,48.1,34.0,24.0,0.0
KHIO,GHCND:USW00094261,2010-01-25,41.1,48.2,34.0,24.0,0.0
