station,ghcnd_id,month,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-HTDD-NORMAL,MLY-CLDD-NORMAL
KHIO,GHCND:USW00094261,1,40.1,46.9,33.3,772.0,0.0
KHIO,GHCND:USW00094261,2,42.3,50.9,33.8,634.0,0.0
KHIO,GHCND:USW00094261,3,46.1,55.6,36.5,587.0,0.0
KHIO,GHCND:USW00094261,4,50.0,60.7,39.4,448.0,-7777.0
KHIO,GHCND:USW00094261,5,55.9,67.6,44.2,288.0,6.0
KHIO,GHCND:USW00094261,6,60.5,72.7,48.3,155.0,20.0
KHIO,GHCND:USW00094261,7,65.6,80.1,51.1,56.0,75.0
KHIO,GHCND:USW00094261,8,65.9,81.4,50.3,51.0,77.0
KHIO,GHCND:USW00094261,9,60.5,74.7,46.3,155.0,19.0
KHIO,GHCND:USW00094261,10,51.5,62.7,40.3,419.0,1.0
KHIO,GHCND:USW00094261,11,44.4,52.0,36.7,620.0,0.0
KHIO,GHCND:USW00094261,12,38.5,45.0,32.1,820.0,0.0
