station,ghcnd_id,date,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-HTDD-NORMAL,DLY-CLDD-NORMAL
KONP,GHCND:USW00024285,2010-01-01,45.4,51.1,39.7,20.0,0.0
KONP,GHCND:USW00024285,2010-01-02,45.5,51.1,39.8,20.0,0.0
KONP,GHCND:USW00024285,2010-01-03,45.5,51.2,39.8,19.0,0.0
KONP,GHCND:USW00024285,2010-01-04,45.6,51.2,39.9,19.0,0.0
KONP,GHCND:USW00024285,2010-01-05,45.6,51.3,39.9,19.0,0.0
KONP,GHCND:USW00024285,2010-01-06,45.6,51.3,40.0,19.0,0.0
KONP,GHCND:USW00024285,2010-01-07,45.7,51.4,40.0,19.0,0.0
KONP,GHCND:USW00024285,2010-01-08,45.7,51.4,40.0,19.0,0.0
KONP,GHCND:USW00024285,2010-01-09,45.8,51.5,40.1,19.0,0.0
KONP,GHCND:USW00024285,2010-01-10,45.8,51.5,40.1,19.0,0.0
KONP,GHCND:USW00024285,2010-01-11,45.8,51.6,40.1,19.0,0.0
KONP,GHCND:USW00024285,2010-01-12,45.9,51.6,40.1,19.0,0.0
KONP,GHCND:USW00024285,2010-01-13,45.9,51.7,40.1,19.0,0.0
KONP,GHCND:USW00024285,2010-01-14,45.9,51.7,40.1,19.0,0.0
KONP,GHCND:USW00024285,2010-01-15,46.0,51.8,40.1,19.0,0.0
KONP,GHCND:USW00024285,2010-01-16,46.0,51.8,40.1,19.0,0.0
KONP,GHCND:USW00024285,2010-01-17,46.0,51.9,40.1,19.0,0.0
KONP,GHCND:USW00024285,2010-01-18,46.0,51.9,40.1,19.0,0.0
KONP,GHCND:USW00024285,2010-01-19,46.0,52.0,40.1,19.0,0.0
KONP,GHCND:USW00024285,2010-01-20,46.1,52.0,40.1,19.0,0.0
KONP,GHCND:USW00024285,2010-01-21,46.1,52.0,40.1,19.0,0.0
KONP,GHCND:USW00024285,2010-01-22,46.1,52.1,40.1,19.0,0.0
