station,ghcnd_id,month,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-HTDD-NORMAL,MLY-CLDD-NORMAL
KONP,GHCND:USW00024285,1,45.9,51.8,40.0,592.0,0.0
KONP,GHCND:USW00024285,2,46.5,53.2,39.7,519.0,0.0
KONP,GHCND:USW00024285,3,47.5,54.4,40.6,542.0,0.0
KONP,GHCND:USW00024285,4,49.1,56.0,42.1,478.0,0.0
KONP,GHCND:USW00024285,5,52.8,59.4,46.1,380.0,-7777.0
KONP,GHCND:USW00024285,6,56.0,62.2,49.7,272.0,-7777.0
KONP,GHCND:USW00024285,7,58.3,64.7,51.8,210.0,-7777.0
KONP,GHCND:USW00024285,8,58.5,65.3,51.7,202.0,1.0
KONP,GHCND:USW00024285,9,56.9,64.6,49.3,244.0,2.0
KONP,GHCND:USW00024285,10,53.1,60.6,45.6,370.0,1.0
KONP,GHCND:USW00024285,11,48.6,54.9,42.4,490.0,0.0
KONP,GHCND:USW00024285,12,45.3,51.1,39.5,611.0,0.0
