station,ghcnd_id,date,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-HTDD-NORMAL,DLY-CLDD-NORMAL
KOTH,GHCND:USW00024284,2010-01-01,45.4,51.0,39.9,20.0,0.0
KOTH,GHCND:USW00024284,2010-01-02,45.5,51.0,39.9,20.0,0.0
KOTH,GHCND:USW00024284,2010-01-03,45.5,51.1,40.0,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-04,45.6,51.1,40.0,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-05,45.6,51.2,40.0,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-06,45.6,51.2,40.1,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-07,45.7,51.2,40.1,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-08,45.7,51.3,40.2,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-09,45.7,51.3,40.2,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-10,45.8,51.3,40.2,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-11,45.8,51.4,40.3,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-12,45.8,51.4,40.3,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-13,45.9,51.4,40.3,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-14,45.9,51.5,40.3,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-15,45.9,51.5,40.3,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-16,45.9,51.5,40.3,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-17,45.9,51.5,40.3,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-18,46.0,51.6,40.3,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-19,46.0,51.6,40.3,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-20,46.0,51.6,40.3,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-21,46.0,51.7,40.3,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-22,46.0,51.7,40.3,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-23,46.0,51.7,40.3,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-24,46.0,51.7,40.3,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-25,46.0,51.8,40.3,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-26,46.0,51.8,40.2,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-27,46.0,51.8,40.2,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-28,46.0,51.9,40.2,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-29,46.0,51.9,40.2,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-30,46.0,51.9,40.2,19.0,0.0
KOTH,GHCND:USW00024284,2010-01-31,46.0,52.0,40.1,19.0,0.0
KOTH,GHCND:USW00024284,2010-02-01,46.1,52.0,40.1,19.0,0.0
KOTH,GHCND:USW00024284,2010-02-02,46.1,52.0,40.1,19.0,0.0
KOTH,GHCND:USW00024284,2010-02-03,46.1,52.1,40.1,19.0,0.0
KOTH,GHCND:USW00024284,2010-02-04,46.1,52.1,40.1,19.0,0.0
KOTH,GHCND:USW00024284,2010-02-05,46.1,52.2,40.0,19.0,0.0
KOTH,GHCND:USW00024284,2010-02-06,46.1,52.2,40.0,19.0,0.0
