station,ghcnd_id,month,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-HTDD-NORMAL,MLY-CLDD-NORMAL
KOTH,GHCND:USW00024284,1,45.8,51.5,40.2,594.0,0.0
KOTH,GHCND:USW00024284,2,46.4,52.7,40.2,519.0,0.0
KOTH,GHCND:USW00024284,3,47.6,53.8,41.5,538.0,0.0
KOTH,GHCND:USW00024284,4,49.2,55.3,43.1,474.0,-7777.0
KOTH,GHCND:USW00024284,5,52.9,58.9,47.0,374.0,-7777.0
KOTH,GHCND:USW00024284,6,56.1,61.7,50.5,267.0,-7777.0
KOTH,GHCND:USW00024284,7,58.6,64.5,52.8,197.0,-7777.0
KOTH,GHCND:USW00024284,8,59.1,65.4,52.9,182.0,1.0
KOTH,GHCND:USW00024284,9,57.4,64.8,50.0,229.0,1.0
KOTH,GHCND:USW00024284,10,53.4,60.9,46.0,358.0,-7777.0
KOTH,GHCND:USW00024284,11,48.8,54.9,42.7,486.0,-7777.0
KOTH,GHCND:USW00024284,12,45.3,51.0,39.7,609.0,0.0
