station,ghcnd_id,date,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-HTDD-NORMAL,DLY-CLDD-NORMAL
KPDX,GHCND:USW00024229,2010-01-01,39.9,45.0,34.9,25.0,0.0
KPDX,GHCND:USW00024229,2010-01-02,40.0,45.1,35.0,25.0,0.0
KPDX,GHCND:USW00024229,2010-01-03,40.1,45.2,35.0,25.0,0.0
KPDX,GHCND:USW00024229,2010-01-04,40.2,45.3,35.1,25.0,0.0
KPDX,GHCND:USW00024229,2010-01-05,40.3,45.4,35.2,25.0,0.0
KPDX,GHCND:USW00024229,2010-01-06,40.4,45.6,35.3,25.0,0.0
KPDX,GHCND:USW00024229,2010-01-07,40.5,45.7,35.4,24.0,0.0
KPDX,GHCND:USW00024229,2010-01-08,40.6,45.8,35.4,24.0,0.0
KPDX,GHCND:USW00024229,2010-01-09,40.7,46.0,35.5,24.0,0.0
KPDX,GHCND:USW00024229,2010-01-10,40.9,46.1,35.6,24.0,0.0
KPDX,GHCND:USW00024229,2010-01-11,41.0,46.3,35.7,24.0,0.0
KPDX,GHCND:USW00024229,2010-01-12,41.1,46.4,35.7,24.0,0.0
KPDX,GHCND:USW00024229,2010-01-13,41.2,46.5,35.8,24.0,0.0
KPDX,GHCND:USW00024229,2010-01-14,41.3,46.7,35.9,24.0,0.0
KPDX,GHCND:USW00024229,2010-01-15,41.4,46.8,35.9,24.0,0.0
KPDX,GHCND:USW00024229,2010-01-16,41.5,47.0,36.0,24.0,0.0
KPDX,GHCND:USW00024229,2010-01-17,41.6,47.1,36.0,23.0,0.0
KPDX,GHCND:USW00024229,2010-01-18,41.7,47.3,36.1,23.0,0.0
KPDX,GHCND:USW00024229,2010-01-19,41.8,47.4,36.1,23.0,0.0
KPDX,GHCND:USW00024229,2010-01-20,41.9,47.6,36.1,23.0,0.0
KPDX,GHCND:USW00024229,2010-01-21,41.9,47.7,36.2,23.0,0.0
KPDX,GHCND:USW00024229,2010-01-22,42.0,47.9,36.2,23.0,0.0
KPDX,GHCND:USW00024229,2010-01-23,42.1,48.0,36.2,23.0,0.0
KPDX,GHCND:USW00024229,2010-01-24,42.2,48.1,36.2,23.0,0.0
KPDX,GHCND:USW00024229,2010-01-25,42.2,48.3,36.2,23.0,0.0
KPDX,GHCND:USW00024229,2010-01-26,42.3,48.4,36.2,23.0,0.0
KPDX,GHCND:USW00024229,2010-01-27,42.4,48.6,36.2,23.0,0.0
KPDX,GHCND:USW00024229,2010-01-28,42.4,48.7,36.2,23.0,0.0
KPDX,GHCND:USW00024229,2010-01-29,42.5,48.8,36.2,23.0,0.0
KPDX,GHCND:USW00024229,2010-01-30,42.6,49.0,36.2,22.0,0.0
KPDX,GHCND:USW00024229,2010-01-31,42.6,49.1,36.1,22.0,0.0
KPDX,GHCND:USW00024229,2010-02-01,42.7,49.2,36.1,22.0,0.0
KPDX,GHCND:USW00024229,2010-02-02,42.7,49.4,36.1,22.0,0.0
KPDX,GHCND:USW00024229,2010-02-03,42.8,49.5,36.1,22.0,0.0
KPDX,GHCND:USW00024229,2010-02-04,42.8,49.6,36.1,22.0,0.0
KPDX,GHCND:USW00024229,2010-02-05,42.9,49.8,36.0,22.0,0.0
KPDX,GHCND:USW00024229,2010-02-06,43.0,49.9,36.0,22.0,0.0
KPDX,GHCND:USW00024229,2010-02-07,43.0,50.0,36.0,22.0,0.0
KPDX,GHCND:USW00024229,2010-02-08,43.1,50.2,36.0,22.0,0.0
KPDX,GHCND:USW00024229,2010-02-09,43.2,50.3,36.0,22.0,0.0
KPDX,GHCND:USW00024229,2010-02-10,43.2,50.5,36.0,22.0,0.0
KPDX,GHCND:USW00024229,2010-02-11,43.3,50.6,36.0,22.0,0.0
KPDX,GHCND:USW00024229,2010-02-12,43.4,50.8,36.0,22.0,0.0
KPDX,GHCND:USW00024229,2010-02-13,43.5,50.9,36.0,22.0,0.0
KPDX,GHCND:USW00024229,2010-02-14,43.6,51.1,36.1,21.0,0.0
KPDX,GHCND:USW00024229,2010-02-15,43.7,51.3,36.1,21.0,0.0
KPDX,GHCND:USW00024229,2010-02-16,43.8,51.4,36.1,21.0,0.0
KPDX,GHCND:USW00024229,2010-02-17,43.9,51.6,36.2,21.0,0.0
KPDX,GHCND:USW00024229,2010-02-18,44.0,51.8,36.2,21.0,0.0
KPDX,GHCND:USW00024229,2010-02-19,44.1,52.0,36.3,21.0,0.0
KPDX,GHCND:USW00024229,2010-02-20,44.3,52.2,36.4,21.0,0.0
KPDX,GHCND:USW00024229,2010-02-21,44.4,52.3,36.5,21.0,0.0
KPDX,GHCND:USW00024229,2010-02-22,44.5,52.5,36.5,20.0,0.0
KPDX,GHCND:USW00024229,2010-02-23,44.7,52.7,36.6,20.0,0.0
KPDX,GHCND:USW00024229,2010-02-24,44.8,52.9,36.7,20.0,0.0
KPDX,GHCND:USW00024229,2010-02-25,45.0,53.1,36.9,20.0,0.0
KPDX,GHCND:USW00024229,2010-02-26,45.2,53.3,37.0,20.0,0.0
KPDX,GHCND:USW00024229,2010-02-27,45.3,53.5,37.1,20.0,0.0
KPDX,GHCND:USW00024229,2010-02-28,45.5,53.7,37.2,20.0,0.0
KPDX,GHCND:USW00024229,2010-03-01,45.7,54.0,37.4,19.0,0.0
KPDX,GHCND:USW00024229,2010-03-02,45.8,54.2,37.5,19.0,0.0
KPDX,GHCND:USW00024229,2010-03-03,46.0,54.4,37.7,19.0,0.0
KPDX,GHCND:USW00024229,2010-03-04,46.2,54.6,37.8,19.0,0.0
KPDX,GHCND:USW00024229,2010-03-05,46.4,54.8,38.0,19.0,0.0
KPDX,GHCND:USW00024229,2010-03-06,46.5,55.0,38.1,18.0,0.0
KPDX,GHCND:USW00024229,2010-03-07,46.7,55.2,38.3,18.0,0.0
KPDX,GHCND:USW00024229,2010-03-08,46.9,55.4,38.4,18.0,0.0
KPDX,GHCND:USW00024229,2010-03-09,47.1,55.6,38.6,18.0,0.0
KPDX,GHCND:USW00024229,2010-03-10,47.3,55.8,38.8,18.0,0.0
KPDX,GHCND:USW00024229,2010-03-11,47.4,56.0,38.9,18.0,0.0
KPDX,GHCND:USW00024229,2010-03-12,47.6,56.2,39.1,17.0,0.0
KPDX,GHCND:USW00024229,2010-03-13,47.8,56.3,39.2,17.0,0.0
KPDX,GHCND:USW00024229,2010-03-14,48.0,56.5,39.4,17.0,0.0
KPDX,GHCND:USW00024229,2010-03-15,48.1,56.7,39.6,17.0,0.0
KPDX,GHCND:USW00024229,2010-03-16,48.3,56.9,39.7,17.0,0.0
KPDX,GHCND:USW00024229,2010-03-17,48.4,57.0,39.9,17.0,0.0
KPDX,GHCND:USW00024229,2010-03-18,48.6,57.2,40.0,16.0,0.0
KPDX,GHCND:USW00024229,2010-03-19,48.7,57.3,40.1,16.0,0.0
KPDX,GHCND:USW00024229,2010-03-20,48.9,57.5,40.3,16.0,0.0
KPDX,GHCND:USW00024229,2010-03-21,49.0,57.6,40.4,16.0,-7777.0
