station,ghcnd_id,month,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-HTDD-NORMAL,MLY-CLDD-NORMAL
KPDX,GHCND:USW00024229,1,41.4,47.0,35.8,732.0,0.0
KPDX,GHCND:USW00024229,2,43.8,51.3,36.3,594.0,0.0
KPDX,GHCND:USW00024229,3,48.2,56.7,39.6,522.0,-7777.0
KPDX,GHCND:USW00024229,4,52.3,61.4,43.1,383.0,1.0
KPDX,GHCND:USW00024229,5,58.3,68.0,48.6,224.0,16.0
KPDX,GHCND:USW00024229,6,63.6,73.5,53.6,91.0,47.0
KPDX,GHCND:USW00024229,7,69.2,80.6,57.8,17.0,147.0
KPDX,GHCND:USW00024229,8,69.5,81.1,58.0,10.0,152.0
KPDX,GHCND:USW00024229,9,64.5,75.8,53.1,76.0,59.0
KPDX,GHCND:USW00024229,10,54.9,63.8,46.0,315.0,2.0
KPDX,GHCND:USW00024229,11,46.6,52.8,40.5,551.0,-7777.0
KPDX,GHCND:USW00024229,12,40.4,45.6,35.2,763.0,0.0
