station,ghcnd_id,date,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-HTDD-NORMAL,DLY-CLDD-NORMAL
KSLE,GHCND:USW00024232,2010-01-01,39.8,45.8,33.9,25.0,0.0
KSLE,GHCND:USW00024232,2010-01-02,39.9,45.9,34.0,25.0,0.0
KSLE,GHCND:USW00024232,2010-01-03,40.0,46.0,34.0,25.0,0.0
KSLE,GHCND:USW00024232,2010-01-04,40.1,46.1,34.1,25.0,0.0
KSLE,GHCND:USW00024232,2010-01-05,40.2,46.2,34.2,25.0,0.0
KSLE,GHCND:USW00024232,2010-01-06,40.3,46.4,34.3,25.0,0.0
KSLE,GHCND:USW00024232,2010-01-07,40.4,46.5,34.4,25.0,0.0
KSLE,GHCND:USW00024232,2010-01-08,40.5,46.6,34.5,24.0,0.0
KSLE,GHCND:USW00024232,2010-01-09,40.6,46.7,34.5,24.0,0.0
KSLE,GHCND:USW00024232,2010-01-10,40.7,46.9,34.6,24.0,0.0
KSLE,GHCND:USW00024232,2010-01-11,40.8,47.0,34.7,24.0,0.0
KSLE,GHCND:USW00024232,2010-01-12,40.9,47.1,34.7,24.0,0.0
KSLE,GHCND:USW00024232,2010-01-13,41.0,47.3,34.8,24.0,0.0
KSLE,GHCND:USW00024232,2010-01-14,41.1,47.4,34.9,24.0,0.0
KSLE,GHCND:USW00024232,2010-01-15,41.2,47.6,34.9,24.0,0.0
KSLE,GHCND:USW00024232,2010-01-16,41.3,47.7,34.9,24.0,0.0
KSLE,GHCND:USW00024232,2010-01-17,41.4,47.8,35.0,24.0,0.0
KSLE,GHCND:USW00024232,2010-01-18,41.5,48.0,35.0,24.0,0.0
KSLE,GHCND:USW00024232,2010-01-19,41.6,48.1,35.0,23.0,0.0
KSLE,GHCND:USW00024232,2010-01-20,41.6,48.3,35.0,23.0,0.0
KSLE,GHCND:USW00024232,2010-01-21,41.7,48.4,35.0,23.0,0.0
KSLE,GHCND:USW00024232,2010-01-22,41.8,48.5,35.0,23.0,0.0
KSLE,GHCND:USW00024232,2010-01-23,41.8,48.6,35.0,23.0,0.0
KSLE,GHCND:USW00024232,2010-01-24,41.9,48.8,35.0,23.0,0.0
KSLE,GHCND:USW00024232,2010-01-25,41.9,48.9,35.0,23.0,0.0
KSLE,GHCND:USW00024232,2010-01-26,42.0,49.0,35.0,23.0,0.0
KSLE,GHCND:USW00024232,2010-01-27,42.0,49.2,34.9,23.0,0.0
KSLE,GHCND:USW00024232,2010-01-28,42.1,49.3,34.9,23.0,0.0
KSLE,GHCND:USW00024232,2010-01-29,42.1,49.4,34.9,23.0,0.0
KSLE,GHCND:USW00024232,2010-01-30,42.2,49.5,34.8,23.0,0.0
KSLE,GHCND:USW00024232,2010-01-31,42.2,49.6,34.8,23.0,0.0
KSLE,GHCND:USW00024232,2010-02-01,42.2,49.8,34.7,23.0,0.0
KSLE,GHCND:USW00024232,2010-02-02,42.3,49.9,34.7,23.0,0.0
KSLE,GHCND:USW00024232,2010-02-03,42.3,50.0,34.6,23.0,0.0
KSLE,GHCND:USW00024232,2010-02-04,42.4,50.1,34.6,23.0,0.0
KSLE,GHCND:USW00024232,2010-02-05,42.4,50.2,34.6,23.0,0.0
KSLE,GHCND:USW00024232,2010-02-06,42.4,50.4,34.5,23.0,0.0
KSLE,GHCND:USW00024232,2010-02-07,42.5,50.5,34.5,23.0,0.0
KSLE,GHCND:USW00024232,2010-02-08,42.5,50.6,34.4,22.0,0.0
KSLE,GHCND:USW00024232,2010-02-09,42.6,50.7,34.4,22.0,0.0
KSLE,GHCND:USW00024232,2010-02-10,42.6,50.9,34.4,22.0,0.0
KSLE,GHCND:USW00024232,2010-02-11,42.7,51.0,34.4,22.0,0.0
KSLE,GHCND:USW00024232,2010-02-12,42.7,51.1,34.4,22.0,0.0
KSLE,GHCND:USW00024232,2010-02-13,42.8,51.3,34.4,22.0,0.0
KSLE,GHCND:USW00024232,2010-02-14,42.9,51.4,34.4,22.0,0.0
KSLE,GHCND:USW00024232,2010-02-15,43.0,51.6,34.4,22.0,0.0
KSLE,GHCND:USW00024232,2010-02-16,43.1,51.7,34.4,22.0,0.0
KSLE,GHCND:USW00024232,2010-02-17,43.1,51.9,34.4,22.0,0.0
KSLE,GHCND:USW00024232,2010-02-18,43.2,52.0,34.5,22.0,0.0
KSLE,GHCND:USW00024232,2010-02-19,43.3,52.2,34.5,22.0,0.0
KSLE,GHCND:USW00024232,2010-02-20,43.5,52.4,34.5,22.0,0.0
KSLE,GHCND:USW00024232,2010-02-21,43.6,52.5,34.6,21.0,0.0
KSLE,GHCND:USW00024232,2010-02-22,43.7,52.7,34.7,21.0,0.0
KSLE,GHCND:USW00024232,2010-02-23,43.8,52.9,34.8,21.0,0.0
KSLE,GHCND:USW00024232,2010-02-24,43.9,53.1,34.8,21.0,0.0
KSLE,GHCND:USW00024232,2010-02-25,44.1,53.2,34.9,21.0,0.0
KSLE,GHCND:USW00024232,2010-02-26,44.2,53.4,35.0,21.0,0.0
KSLE,GHCND:USW00024232,2010-02-27,44.4,53.6,35.1,21.0,0.0
KSLE,GHCND:USW00024232,2010-02-28,44.5,53.8,35.3,20.0,0.0
KSLE,GHCND:USW00024232,2010-03-01,44.7,54.0,35.4,20.0,0.0
KSLE,GHCND:USW00024232,2010-03-02,44.8,54.2,35.5,20.0,0.0
KSLE,GHCND:USW00024232,2010-03-03,45.0,54.3,35.6,20.0,0.0
KSLE,GHCND:USW00024232,2010-03-04,45.1,54.5,35.8,20.0,0.0
KSLE,GHCND:USW00024232,2010-03-05,45.3,54.7,35.9,20.0,0.0
KSLE,GHCND:USW00024232,2010-03-06,45.5,54.9,36.0,20.0,0.0
KSLE,GHCND:USW00024232,2010-03-07,45.6,55.1,36.2,19.0,0.0
KSLE,GHCND:USW00024232,2010-03-08,45.8,55.3,36.3,19.0,0.0
KSLE,GHCND:USW00024232,2010-03-09,45.9,55.5,36.4,19.0,0.0
KSLE,GHCND:USW00024232,2010-03-10,46.1,55.6,36.6,19.0,0.0
KSLE,GHCND:USW00024232,2010-03-11,46.3,55.8,36.7,19.0,0.0
KSLE,GHCND:USW00024232,2010-03-12,46.4,56.0,36.9,19.0,0.0
KSLE,GHCND:USW00024232,2010-03-13,46.6,56.1,37.0,18.0,0.0
KSLE,GHCND:USW00024232,2010-03-14,46.7,56.3,37.1,18.0,0.0
KSLE,GHCND:USW00024232,2010-03-15,46.9,56.5,37.2,18.0,0.0
KSLE,GHCND:USW00024232,2010-03-16,47.0,56.6,37.4,18.0,0.0
KSLE,GHCND:USW00024232,2010-03-17,47.1,56.8,37.5,18.0,0.0
KSLE,GHCND:USW00024232,2010-03-18,47.3,56.9,37.6,18.0,0.0
KSLE,GHCND:USW00024232,2010-03-19,47.4,57.1,37.7,18.0,0.0
KSLE,GHCND:USW00024232,2010-03-20,47.5,57.2,37.8,17.0,0.0
KSLE,GHCND:USW00024232,2010-03-21,47.6,57.4,37.9,17.0,0.0
KSLE,GHCND:USW00024232,2010-03-22,47.7,57.5,38.0,17.0,0.0
KSLE,GHCND:USW00024232,2010-03-23,47.8,57.6,38.1,17.0,0.0
KSLE,GHCND:USW00024232,2010-03-24,47.9,57.8,38.1,17.0,0.0
KSLE,GHCND:USW00024232,2010-03-25,48.0,57.9,38.2,17.0,0.0
KSLE,GHCND:USW00024232,2010-03-26,48.1,58.0,38.3,17.0,0.0
KSLE,GHCND:USW00024232,2010-03-27,48.2,58.1,38.3,17.0,0.0
KSLE,GHCND:USW00024232,2010-03-28,48.3,58.3,38.4,17.0,0.0
KSLE,GHCND:USW00024232,2010-03-29,48.4,58.4,38.4,17.0,0.0
KSLE,GHCND:USW00024232,2010-03-30,48.5,58.5,38.5,16.0,0.0
KSLE,GHCND:USW00024232,2010-03-31,48.6,58.6,38.5,16.0,0.0
KSLE,GHCND:USW00024232,2010-04-01,48.7,58.7,38.6,16.0,0.0
KSLE,GHCND:USW00024232,2010-04-02,48.8,58.9,38.6,16.0,0.0
KSLE,GHCND:USW00024232,2010-04-03,48.8,59.0,38.7,16.0,0.0
KSLE,GHCND:USW00024232,2010-04-04,48.9,59.1,38.7,16.0,0.0
KSLE,GHCND:USW00024232,2010-04-05,49.0,59.3,38.8,16.0,0.0
KSLE,GHCND:USW00024232,2010-04-06,49.1,59.4,38.8,16.0,0.0
KSLE,GHCND:USW00024232,2010-04-07,49.2,59.5,38.8,16.0,0.0
KSLE,GHCND:USW00024232,2010-04-08,49.3,59.7,38.9,16.0,0.0
KSLE,GHCND:USW00024232,2010-04-09,49.4,59.8,38.9,16.0,0.0
KSLE,GHCND:USW00024232,2010-04-10,49.5,60.0,39.0,16.0,0.0
KSLE,GHCND:USW00024232,2010-04-11,49.6,60.1,39.0,15.0,0.0
KSLE,GHCND:USW00024232,2010-04-12,49.7,60.3,39.1,15.0,0.0
KSLE,GHCND:USW00024232,2010-04-13,49.8,60.4,39.2,15.0,0.0
KSLE,GHCND:USW00024232,2010-04-14,49.9,60.6,39.2,15.0,0.0
KSLE,GHCND:USW00024232,2010-04-15,50.1,60.8,39.3,15.0,0.0
KSLE,GHCND:USW00024232,2010-04-16,50.2,61.0,39.4,15.0,0.0
KSLE,GHCND:USW00024232,2010-04-17,50.3,61.2,39.5,15.0,0.0
KSLE,GHCND:USW00024232,2010-04-18,50.5,61.4,39.6,15.0,0.0
KSLE,GHCND:USW00024232,2010-04-19,50.6,61.6,39.7,14.0,0.0
