station,ghcnd_id,month,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-HTDD-NORMAL,MLY-CLDD-NORMAL
KSLE,GHCND:USW00024232,1,41.2,47.7,34.7,738.0,0.0
KSLE,GHCND:USW00024232,2,43.1,51.6,34.6,613.0,0.0
KSLE,GHCND:USW00024232,3,46.9,56.5,37.2,563.0,0.0
KSLE,GHCND:USW00024232,4,50.4,61.1,39.6,440.0,-7777.0
KSLE,GHCND:USW00024232,5,56.2,67.8,44.7,280.0,9.0
KSLE,GHCND:USW00024232,6,61.6,73.9,49.3,130.0,28.0
KSLE,GHCND:USW00024232,7,67.6,82.0,53.1,30.0,109.0
KSLE,GHCND:USW00024232,8,67.6,82.4,52.8,26.0,106.0
KSLE,GHCND:USW00024232,9,62.6,76.8,48.4,109.0,37.0
KSLE,GHCND:USW00024232,10,53.2,64.1,42.3,367.0,1.0
KSLE,GHCND:USW00024232,11,45.5,52.6,38.4,585.0,-7777.0
KSLE,GHCND:USW00024232,12,40.1,46.2,34.0,772.0,0.0
