station,ghcnd_id,date,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-HTDD-NORMAL,DLY-CLDD-NORMAL
KTTD,GHCND:USW00024242,2010-01-01,38.2,43.9,32.5,27.0,0.0
KTTD,GHCND:USW00024242,2010-01-02,38.3,44.0,32.5,27.0,0.0
KTTD,GHCND:USW00024242,2010-01-03,38.4,44.1,32.6,27.0,0.0
KTTD,GHCND:USW00024242,2010-01-04,38.5,44.3,32.7,27.0,0.0
KTTD,GHCND:USW00024242,2010-01-05,38.6,44.4,32.8,26.0,0.0
KTTD,GHCND:USW00024242,2010-01-06,38.7,44.5,32.9,26.0,0.0
KTTD,GHCND:USW00024242,2010-01-07,38.8,44.6,32.9,26.0,0.0
KTTD,GHCND:USW00024242,2010-01-08,38.9,44.7,33.0,26.0,0.0
KTTD,GHCND:USW00024242,2010-01-09,39.0,44.9,33.1,26.0,0.0
KTTD,GHCND:USW00024242,2010-01-10,39.1,45.0,33.3,26.0,0.0
KTTD,GHCND:USW00024242,2010-01-11,39.3,45.1,33.4,26.0,0.0
KTTD,GHCND:USW00024242,2010-01-12,39.4,45.3,33.5,26.0,0.0
KTTD,GHCND:USW00024242,2010-01-13,39.5,45.4,33.6,26.0,0.0
KTTD,GHCND:USW00024242,2010-01-14,39.6,45.6,33.7,25.0,0.0
KTTD,GHCND:USW00024242,2010-01-15,39.7,45.7,33.8,25.0,0.0
KTTD,GHCND:USW00024242,2010-01-16,39.9,45.8,33.9,25.0,0.0
KTTD,GHCND:USW00024242,2010-01-17,40.0,46.0,34.0,25.0,0.0
KTTD,GHCND:USW00024242,2010-01-18,40.1,46.1,34.1,25.0,0.0
KTTD,GHCND:USW00024242,2010-01-19,40.2,46.2,34.2,25.0,0.0
KTTD,GHCND:USW00024242,2010-01-20,40.3,46.4,34.3,25.0,0.0
KTTD,GHCND:USW00024242,2010-01-21,40.4,46.5,34.3,25.0,0.0
KTTD,GHCND:USW00024242,2010-01-22,40.5,46.6,34.4,24.0,0.0
KTTD,GHCND:USW00024242,2010-01-23,40.6,46.7,34.5,24.0,0.0
KTTD,GHCND:USW00024242,2010-01-24,40.7,46.8,34.6,24.0,0.0
KTTD,GHCND:USW00024242,2010-01-25,40.8,47.0,34.6,24.0,0.0
KTTD,GHCND:USW00024242,2010-01-26,40.9,47.1,34.7,24.0,0.0
KTTD,GHCND:USW00024242,2010-01-27,41.0,47.2,34.7,24.0,0.0
KTTD,GHCND:USW00024242,2010-01-28,41.1,47.3,34.8,24.0,0.0
KTTD,GHCND:USW00024242,2010-01-29,41.1,47.4,34.8,24.0,0.0
KTTD,GHCND:USW00024242,2010-01-30,41.2,47.5,34.9,24.0,0.0
KTTD,GHCND:USW00024242,2010-01-31,41.3,47.6,34.9,24.0,0.0
KTTD,GHCND:USW00024242,2010-02-01,41.4,47.8,35.0,24.0,0.0
KTTD,GHCND:USW00024242,2010-02-02,41.4,47.9,35.0,24.0,0.0
KTTD,GHCND:USW00024242,2010-02-03,41.5,48.0,35.0,23.0,0.0
KTTD,GHCND:USW00024242,2010-02-04,41.6,48.1,35.1,23.0,0.0
KTTD,GHCND:USW00024242,2010-02-05,41.7,48.2,35.1,23.0,0.0
KTTD,GHCND:USW00024242,2010-02-06,41.7,48.4,35.1,23.0,0.0
KTTD,GHCND:USW00024242,2010-02-07,41.8,48.5,35.1,23.0,0.0
KTTD,GHCND:USW00024242,2010-02-08,41.9,48.6,35.2,23.0,0.0
KTTD,GHCND:USW00024242,2010-02-09,42.0,48.8,35.2,23.0,0.0
KTTD,GHCND:USW00024242,2010-02-10,42.1,48.9,35.2,23.0,0.0
