station,ghcnd_id,month,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-HTDD-NORMAL,MLY-CLDD-NORMAL
KTTD,GHCND:USW00024242,1,39.8,45.8,33.8,781.0,0.0
KTTD,GHCND:USW00024242,2,42.7,49.8,35.5,626.0,0.0
KTTD,GHCND:USW00024242,3,47.4,56.3,38.5,546.0,-7777.0
KTTD,GHCND:USW00024242,4,51.4,61.7,41.2,407.0,1.0
KTTD,GHCND:USW00024242,5,57.4,68.4,46.3,253.0,16.0
KTTD,GHCND:USW00024242,6,62.4,74.2,50.6,120.0,42.0
KTTD,GHCND:USW00024242,7,67.7,81.4,54.0,33.0,116.0
KTTD,GHCND:USW00024242,8,67.9,82.1,53.8,29.0,121.0
KTTD,GHCND:USW00024242,9,62.8,76.0,49.5,110.0,42.0
KTTD,GHCND:USW00024242,10,53.8,64.0,43.7,348.0,2.0
KTTD,GHCND:USW00024242,11,45.6,52.5,38.7,582.0,0.0
KTTD,GHCND:USW00024242,12,39.0,44.6,33.3,807.0,0.0
