station,ghcnd_id,note,date,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-HTDD-NORMAL,DLY-CLDD-NORMAL
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-01,40.2,46.2,34.3,25.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-02,40.3,46.2,34.4,25.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-03,40.4,46.3,34.5,25.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-04,40.5,46.4,34.6,25.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-05,40.6,46.5,34.7,24.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-06,40.7,46.6,34.8,24.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-07,40.8,46.7,34.9,24.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-08,40.9,46.8,35.0,24.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-09,41.0,46.9,35.1,24.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-10,41.1,47.0,35.2,24.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-11,41.2,47.1,35.3,24.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-12,41.3,47.2,35.4,24.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-13,41.4,47.3,35.5,24.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-14,41.5,47.4,35.6,24.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-15,41.6,47.5,35.6,23.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-16,41.7,47.7,35.7,23.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-17,41.8,47.8,35.8,23.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-18,41.8,47.9,35.8,23.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-19,41.9,48.0,35.8,23.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-20,42.0,48.1,35.9,23.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-21,42.1,48.2,35.9,23.0,0.0
