station,ghcnd_id,note,month,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-HTDD-NORMAL,MLY-CLDD-NORMAL
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",1,41.6,47.7,35.4,727.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2,43.5,51.7,35.3,602.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",3,48.0,56.9,39.1,527.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",4,52.1,61.5,42.6,389.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",5,58.1,68.1,48.2,227.0,14.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",6,63.3,73.4,53.3,91.0,41.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",7,68.4,80.0,56.9,20.0,127.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",8,69.2,81.5,56.9,13.0,143.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",9,63.6,75.7,51.6,89.0,48.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",10,53.8,63.4,44.1,350.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",11,46.4,53.1,39.8,557.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",12,40.6,46.7,34.5,756.0,0.0
