Date Applied,Date Effective,Requested MM$,Change Percent,Granted MM$,Granted Percent,Approved ROE
03/03/75,08/01/75,$4.1,3.1%,$3.6,2.7%,13.5%-14.5%
12/30/75,08/30/76,$3.7,2.3%,$0.7,0.4%,13.50%
02/28/77,07/22/77,$18.8,8.7%,$14.4,7.8%,13.40%
11/14/78,01/05/79,$8.6,4.5%,$6.6,3.4%,13.40%
03/01/80,04/01/80,$6.5,2.2%,$6.5,2.2%,14.75%
02/27/81,04/01/81,$11.5,3.6%,$11.5,3.6%,15.30%
03/19/82,04/01/82,$14.8,3.8%,$14.4,3.7%,16.50%
08/31/82,10/01/82,$9.5,2.7%,$9.3,2.5%,16.50%
03/11/83,04/01/83,$13.4,3.9%,$13.4,3.9%,16.10%
03/01/84,04/01/84,$12.4,3.5%,$6.9,2.2%,15.25%
12/19/84,05/01/85,$15.7,5.4%,$5.4,1.7%,15.25%
01/08/86,05/21/86,$29.4,10.4%,$16.5,5.8%,13.25%
08/01/87*,,,-1.5%,($3.6),-1.5%,12.443%
01/06/89,11/01/89,$29.4,11.2%,$10.5,4.7%,13.25%
10/16/98,12/01/99,$14.7,3.8%,$0.2,2.07%,10.25%
11/29/02,09/01/03,$38.1,6.8%,$13.9,2.60%,10.20%
12/30/11,11/01/12,$43.7,6.0%,$8.7,1.28%,9.50%
12/29/17,11/01/18,$37.8,6.1%,$24.8,3.95%,9.40%
12/30/19,11/01/20,$71.4,11.5%,$45.1,7.27%,9.40%
12/30/21,11/01/22,$73.5,9.9%,$62.6,8.84%,9.40%
12/30/23,11/01/24,$154.9,16.7%,$93.3,9.98%,9.40%
12/30/24,10/31/25,$59.3,5.8%,$20.7,2.43%,9.50%
