Date Applied,Date Effective,Requested MM$,Requested Percent,Granted MM$,Granted Percent,Return on Equity,Rate of Return
6/28/1974,,0.6,6.00%,0.5,5.00%,13.50%, [cite: 8]
12/30/1975,7/14/1976,0.6,3.00%,0.6,3.00%,13.50%, [cite: 8]
6/2/1977,11/10/1977,2.5,9.00%,2.2,8.00%,13.50%, [cite: 8]
11/14/1978,4/11/1979,0.9,4.00%,0.7,3.00%,13.50%, [cite: 8]
3/31/1980,2/10/1981,1.5,4.00%,1.1,3.00%,14.75%, [cite: 8]
3/27/1981,6/9/1981,0.8,1.80%,0.7,1.70%,14.75%, [cite: 8]
5/13/1982,12/2/1982,3.4,6.20%,2.1,4.80%,15.40%, [cite: 8]
10/9/1983,2/18/1984,1.7,5.20%,1.8,5.30%,15.40%, [cite: 8]
3/10/1986,10/1/1986,3.0,4.50%,1.8,8.60%,13.25%, [cite: 8]
05/28/97,10/28/97,1.2,5.00%,0.6,3.00%,11.25%, [cite: 8]
1/21/2000,11/1/2000,6.2,18.80%,4.3,12.09%,N/A, [cite: 8]
11/19/2003,7/1/2004,7.9,15.10%,3.5,6.50%,N/A, [cite: 8]
3/28/2008,1/1/2009,4.3,6.30%,2.7,3.50%,10.10%, [cite: 8]
12/31/2018,11/1/2019,8.3,12.60%,5.1,7.80%,9.40%, [cite: 8]
12/18/2020,11/1/2021,6.3,8.00%,5.0,6.38%,9.40%,6.814% [cite: 8]
12/18/2020,11/1/2022,3.2,3.70%,3.0,8.09%,9.40%,6.814% [cite: 8]
