Schedule,Type,Description,Value
2,Residential,Customer Charge,8.00 [cite: 51]
2,Residential,CCA Credit,-26.32 [cite: 77]
2,Residential,Usage Charge (per therm),1.24164 [cite: 45]
3,Basic Firm,Customer Charge (Res),5.50 [cite: 29]
3,Basic Firm,Customer Charge (Com),7.00 [cite: 32]
3,Basic Firm,CCA Credit (Res),-1.82 [cite: 35]
3,Basic Firm,CCA Credit (Com),-5.34 [cite: 37]
3,Basic Firm,Usage Charge (Res),1.63252 [cite: 43]
3,Basic Firm,Usage Charge (Com),1.59582 [cite: 43]
41,Non-Residential Sales,Customer Charge,9.00 [cite: 120]
41,Non-Residential Sales,Usage Charge (all therms),1.10834 [cite: 124]
42,Large Volume Firm,Customer Charge,250.00 [cite: 133]
42,Large Volume Firm,CCA Credit (Com),-515.09 [cite: 133]
42,Large Volume Firm,CCA Credit (Ind),-622.72 [cite: 134]
