Effective Date,Rate per Therm,Type
11/01/2018,0.22356,Annual [cite: 251]
11/01/2019,0.20291,Annual [cite: 251]
11/01/2020,0.26333,Annual [cite: 251]
11/01/2021,0.34873,Annual [cite: 251]
11/01/2022,0.46972,Annual [cite: 251]
11/01/2023,0.47117,Annual [cite: 251]
01/01/2025,0.43274,Annual [cite: 251]
11/01/2025,0.40641,Annual [cite: 251]
11/01/2018,0.26513,Winter [cite: 266]
11/01/2019,0.24780,Winter [cite: 266]
11/01/2020,0.28450,Winter [cite: 266]
11/01/2021,0.41473,Winter [cite: 266]
11/01/2022,0.56965,Winter [cite: 266]
11/01/2023,0.51618,Winter [cite: 266]
01/01/2025,0.45156,Winter [cite: 266]
11/01/2025,0.43569,Winter [cite: 266]
