year,scenario,total_therms,upc,customer_count,space_heating,water_heating,cooking,drying,fireplace
2025,Baseline,421200000.0,648.0,650000,147420000.0,105300000.0,63180000.0,63180000.0,42120000.0
2026,Baseline,416187720.0,640.2888,650000,145665702.0,104046930.0,62428158.0,62428158.0,41618772.0
2027,Baseline,411235086.13199997,632.66936328,650000,143932280.14619997,102808771.53299999,61685262.91979999,61685262.91979999,41123508.6132
2028,Baseline,406341388.60702914,625.1405978569679,650000,142219486.0124602,101585347.15175728,60951208.29105437,60951208.29105437,40634138.86070292
2029,Baseline,401505926.08260554,617.7014247424701,650000,140527074.12891194,100376481.52065139,60225888.91239083,60225888.91239083,40150592.60826056
2030,Baseline,396728005.56222254,610.3507777880346,650000,138854801.94677788,99182001.39055564,59509200.83433338,59509200.83433338,39672800.55622225
2031,Baseline,392006942.296032,603.087603532357,650000,137202429.8036112,98001735.574008,58801041.3444048,58801041.3444048,39200694.2296032
2032,Baseline,387342059.6827093,595.910861050322,650000,135569720.88894823,96835514.92067732,58101308.95240639,58101308.95240639,38734205.96827093
2033,Baseline,382732689.17248505,588.8195218038231,650000,133956441.21036977,95683172.29312126,57409903.37587275,57409903.37587275,38273268.91724851
2034,Baseline,378178170.1713324,581.8125694943576,650000,132362359.55996634,94544542.5428331,56726725.52569986,56726725.52569986,37817817.01713324
2035,Baseline,373677849.94629353,574.8889999173747,650000,130787247.48120272,93419462.48657338,56051677.49194403,56051677.49194403,37367784.99462935
