year,scenario,total_therms,upc,customer_count,space_heating,water_heating,cooking,drying,fireplace,heat_pump_penetration
2025,High Electrification,421200000.0,648.0,650000,105300000.0,84240000.0,63180000.0,63180000.0,42120000.0,0.05
2026,High Electrification,410670000.0,631.8,650000,102667500.0,82134000.0,61600500.0,61600500.0,41067000.0,0.13
2027,High Electrification,400403250.0,616.005,650000,100100812.5,80080650.0,60060487.5,60060487.5,40040325.0,0.21000000000000002
2028,High Electrification,390393168.75,600.604875,650000,97598292.1875,78078633.75,58558975.3125,58558975.3125,39039316.875,0.29
2029,High Electrification,380633339.53124994,585.5897531249999,650000,95158334.88281249,76126667.90624999,57095000.92968749,57095000.92968749,38063333.95312499,0.37
2030,High Electrification,371117506.0429687,570.9500092968749,650000,92779376.51074217,74223501.20859374,55667625.9064453,55667625.9064453,37111750.60429687,0.45
2031,High Electrification,361839568.3918945,556.6762590644531,650000,90459892.09797363,72367913.67837891,54275935.258784175,54275935.258784175,36183956.839189455,0.53
2032,High Electrification,352793579.18209714,542.7593525878417,650000,88198394.79552428,70558715.83641943,52919036.87731457,52919036.87731457,35279357.91820972,0.6100000000000001
2033,High Electrification,343973739.7025447,529.1903687731457,650000,85993434.92563617,68794747.94050895,51596060.9553817,51596060.9553817,34397373.97025447,0.6900000000000001
2034,High Electrification,335374396.209981,515.960609553817,650000,83843599.05249526,67074879.24199621,50306159.43149715,50306159.43149715,33537439.620998103,0.77
2035,High Electrification,326990036.30473155,503.0615943149716,650000,81747509.07618289,65398007.26094631,49048505.44570973,49048505.44570973,32699003.630473156,0.85
