Year,Avg_Res_UPC_Therms,Annual_Decay_Rate,Cumulative_Change_vs_2025,Era,Notes
2025,648.0,0.00%,0.0%,Current,Draft 2025 IRP baseline
2026,640.3,-1.19%,-1.2%,Decarbonization,Projected at IRP decay rate
2027,632.7,-1.19%,-2.4%,Decarbonization,Projected at IRP decay rate
2028,625.1,-1.19%,-3.5%,Decarbonization,Projected at IRP decay rate
2029,617.7,-1.19%,-4.7%,Decarbonization,Projected at IRP decay rate
2030,610.3,-1.19%,-5.8%,Decarbonization,Projected at IRP decay rate
2031,603.1,-1.19%,-6.9%,Decarbonization,Projected at IRP decay rate
2032,595.9,-1.19%,-8.0%,Decarbonization,Projected at IRP decay rate
2033,588.8,-1.19%,-9.1%,Decarbonization,Projected at IRP decay rate
2034,581.8,-1.19%,-10.2%,Decarbonization,Projected at IRP decay rate
2035,574.9,-1.19%,-11.3%,Decarbonization,Projected at IRP decay rate
