year,source,census_total_units,census_gas_units,census_gas_pct,model_total_units,model_territory_total
2009,census,1254380.0,494226.0,39.4,,
2010,census,1285623.0,509107.0,39.6,,
2011,census,1296041.0,515824.0,39.8,,
2012,census,1300940.0,520376.0,40.0,,
2013,census,1306046.0,522418.0,40.0,,
2014,census,1314383.0,524439.0,39.9,,
2015,census,1324435.0,528450.0,39.9,,
2016,census,1336832.0,533396.0,39.9,,
2017,census,1358735.0,542135.0,39.9,,
2018,census,1377249.0,549522.0,39.9,,
2019,census,1395781.0,554125.0,39.7,,
2020,census,1422981.0,560655.0,39.4,,
2021,census,1444346.0,567628.0,39.3,,
2022,census,1466379.0,571888.0,39.0,,
2023,census,1485849.0,575024.0,38.7,,
2025,model,,,,213725.0,552261.0
2026,model,,,,215862.0,557783.0
2027,model,,,,218021.0,563362.0
2028,model,,,,220201.0,568995.0
2029,model,,,,222403.0,574685.0
2030,model,,,,224627.0,580432.0
2031,model,,,,226873.0,586235.0
2032,model,,,,229142.0,592098.0
2033,model,,,,231434.0,598021.0
2034,model,,,,233748.0,604000.0
2035,model,,,,236085.0,610039.0
