year,space_heating,water_heating,cooking,clothes_drying,fireplace,other,estimated_total_upc,irp_upc,non_heating_offset,diff_vs_irp,diff_vs_irp_pct,data_type
2025,520.9,366.9,28.6,17.5,44.5,68.3,1046.7,648.0,525.8,398.7,61.5,calibrated
2026,485.6,342.0,26.7,16.3,41.5,63.7,975.7,640.3,490.2,335.4,52.4,projected
2027,473.0,333.2,26.0,15.9,40.4,62.1,950.6,632.7,477.5,317.9,50.2,projected
2028,463.0,326.2,25.4,15.6,39.5,60.8,930.5,625.1,467.4,305.4,48.9,projected
2029,453.8,319.6,24.9,15.2,38.8,59.5,911.9,617.7,458.1,294.2,47.6,projected
2030,445.3,313.7,24.4,15.0,38.0,58.4,894.9,610.3,449.6,284.6,46.6,projected
2031,437.1,307.9,24.0,14.7,37.3,57.3,878.4,603.1,441.3,275.3,45.6,projected
2032,429.2,302.3,23.6,14.4,36.7,56.3,862.4,595.9,433.2,266.5,44.7,projected
2033,421.0,296.5,23.1,14.1,36.0,55.2,846.0,588.8,425.0,257.2,43.7,projected
2034,413.6,291.4,22.7,13.9,35.3,54.3,831.2,581.8,417.5,249.4,42.9,projected
2035,406.6,286.4,22.3,13.7,34.7,53.3,817.0,574.9,410.5,242.1,42.1,projected
