year,model_upc,irp_upc,total_therms,premise_count,model_upc_label,estimated_total_upc,diff_therms,diff_pct
2025,520.8798813563136,648.0,111325052.64287813,213725,space_heating_only,1046.7,-127.1201186436864,-19.6
2026,490.42260114248427,640.3,104815570.42917745,213725,space_heating_only,975.7,-149.8773988575157,-23.4
2027,482.5502916534513,632.7,103133061.08363388,213725,space_heating_only,950.6,-150.14970834654872,-23.7
2028,477.0794893682791,625.1,101963813.86523545,213725,space_heating_only,930.5,-148.02051063172092,-23.7
2029,472.20796309939317,617.7,100922646.9134178,213725,space_heating_only,911.9,-145.49203690060688,-23.6
2030,468.046049111043,610.3,100033141.84625766,213725,space_heating_only,894.9,-142.25395088895698,-23.3
2031,463.9928802541443,603.1,99166878.332317,213725,space_heating_only,878.4,-139.1071197458557,-23.1
2032,460.12696162230407,595.9,98340634.87272693,213725,space_heating_only,862.4,-135.7730383776959,-22.8
2033,455.8783099794237,588.8,97432591.80035233,213725,space_heating_only,846.0,-132.92169002057625,-22.6
2034,452.3680448634161,581.8,96682360.3884336,213725,space_heating_only,831.2,-129.43195513658384,-22.2
2035,449.1304912337329,574.9,95990414.23892957,213725,space_heating_only,817.0,-125.76950876626705,-21.9
