year,mean_upc,median_upc,premise_count
2009,682.941984347387,625.7,178245
2010,601.3692903275966,548.8,180069
2011,675.0727223260416,619.9,181940
2012,612.1028445295001,558.5,183932
2013,634.4844193439442,582.5,186539
2014,596.7695878880919,544.2,188905
2015,515.0641252224898,467.4,191020
2016,546.5163135275469,496.8,193361
2017,686.6183178611025,630.4,195727
2018,593.7113583932004,540.3,197660
2019,644.4121152180119,588.9,199691
2020,600.1359876396482,543.5,201936
2021,594.162868475704,538.2,203202
2022,657.2062565805261,601.2,204201
2023,619.558835189037,566.1,204325
2024,589.7413581847809,538.3,204361
2025,542.8608743608725,488.0,203989
