year,segment,min_therms,p10_therms,p25_therms,median_therms,p75_therms,p90_therms,max_therms,mean_therms,std_therms,premise_count
2025,ALL,184.3,302.8,386.1,454.3,613.3,779.8,4497.3,520.9,256.8,213725
2025,RESSF,276.5,335.8,395.0,522.4,613.3,790.0,4497.3,550.3,251.0,164334
2025,RESMF,184.3,263.3,302.8,348.3,408.8,757.1,3709.9,422.9,251.7,49391
2026,ALL,181.5,297.6,349.3,446.4,523.9,745.8,4129.3,490.4,236.4,213725
2026,RESSF,272.3,330.0,388.2,447.5,523.9,769.6,4129.3,518.9,229.8,164334
2026,RESMF,181.5,253.0,297.6,341.4,399.7,698.6,3461.4,395.5,233.3,49391
2027,ALL,179.3,293.5,344.5,440.2,516.8,736.6,4071.7,482.6,232.1,213725
2027,RESSF,269.0,325.4,382.8,442.4,516.8,751.5,4071.7,510.7,225.6,164334
2027,RESMF,179.3,249.4,293.5,335.8,392.2,689.0,3523.6,388.9,228.8,49391
2028,ALL,177.9,290.6,341.5,435.9,512.3,727.3,4040.0,477.1,229.3,213725
2028,RESSF,266.8,322.2,379.1,439.4,512.3,745.1,4040.0,504.9,222.9,164334
2028,RESMF,177.9,247.0,290.6,331.8,386.9,683.0,3397.7,384.5,226.0,49391
2029,ALL,176.5,288.1,338.9,432.2,508.4,721.0,4007.6,472.2,226.6,213725
2029,RESSF,264.8,319.4,375.8,436.8,508.4,740.6,4007.6,499.8,220.2,164334
2029,RESMF,176.5,244.9,288.1,328.3,382.0,677.1,3459.6,380.5,223.3,49391
2030,ALL,175.4,285.9,336.8,428.9,505.1,714.4,3967.0,468.0,224.3,213725
2030,RESSF,263.1,317.0,372.9,434.8,505.1,729.1,3967.0,495.4,217.9,164334
2030,RESMF,175.4,243.0,285.9,325.1,377.7,671.9,3462.7,377.2,221.5,49391
2031,ALL,174.3,283.8,334.7,425.7,502.1,708.6,3952.9,464.0,222.4,213725
2031,RESSF,261.5,314.7,370.2,432.9,502.1,723.7,3952.9,491.1,216.0,164334
2031,RESMF,174.3,241.2,283.8,322.0,334.7,667.0,3268.8,373.9,219.6,49391
2032,ALL,173.3,281.8,332.8,422.8,499.3,702.7,3862.2,460.1,220.3,213725
2032,RESSF,259.9,312.5,367.6,431.1,499.3,718.7,3862.2,487.0,214.0,164334
2032,RESMF,173.3,239.6,281.8,319.1,332.8,662.3,3246.2,370.6,217.3,49391
2033,ALL,172.1,279.6,330.6,419.4,495.9,697.9,3825.6,455.9,218.0,213725
2033,RESSF,258.2,310.0,364.7,428.9,495.9,713.0,3825.6,482.5,211.7,164334
2033,RESMF,172.1,237.7,279.6,315.9,330.6,657.0,3312.3,367.2,215.4,49391
2034,ALL,171.1,277.7,328.8,416.6,493.3,691.8,3764.1,452.4,216.1,213725
2034,RESSF,256.7,307.9,362.3,427.3,493.3,708.2,3764.1,478.8,209.8,164334
2034,RESMF,171.1,236.1,277.7,313.2,328.8,652.7,3171.1,364.4,213.5,49391
2035,ALL,155.6,276.0,327.2,414.0,490.8,689.1,3799.0,449.1,214.5,213725
2035,RESSF,233.5,306.0,360.0,425.9,490.8,703.7,3799.0,475.4,208.2,164334
2035,RESMF,155.6,234.6,276.0,310.6,327.2,648.5,3226.5,361.7,211.6,49391
