year,end_use,scenario_name,total_therms,use_per_customer,premise_count,data_type,irp_upc_therms
2025,space_heating,baseline,111325052.64287813,520.8798813563136,213725,calibrated,648.0
2026,space_heating,baseline,104815570.42917745,485.5674941822898,213725,projected,640.3
2027,space_heating,baseline,103133061.08363388,473.0418679101274,213725,projected,632.7
2028,space_heating,baseline,101963813.86523545,463.04882296281784,213725,projected,625.1
2029,space_heating,baseline,100922646.9134178,453.782758836067,213725,projected,617.7
2030,space_heating,baseline,100033141.84625766,445.32999971623025,213725,projected,610.3
2031,space_heating,baseline,99166878.332317,437.10304149157014,213725,projected,603.1
2032,space_heating,baseline,98340634.87272693,429.1689645404462,213725,projected,595.9
2033,space_heating,baseline,97432591.80035233,420.99515110291634,213725,projected,588.8
2034,space_heating,baseline,96682360.3884336,413.6179149701114,213725,projected,581.8
2035,space_heating,baseline,95990414.23892957,406.592601134886,213725,projected,574.9
