segment,total_therms,equipment_count,year
RESMF,20886914.330150995,58502,2025
RESSF,90438138.31272714,188100,2025
RESMF,19536009.412422195,58502,2026
RESSF,85279561.01675525,188100,2026
RESMF,19206559.916772973,58502,2027
RESSF,83926501.16686091,188100,2027
RESMF,18992453.662240345,58502,2028
RESSF,82971360.2029951,188100,2028
RESMF,18793416.188693322,58502,2029
RESSF,82129230.72472449,188100,2029
RESMF,18628460.91465515,58502,2030
RESSF,81404680.93160251,188100,2030
RESMF,18465214.267875563,58502,2031
RESSF,80701664.06444144,188100,2031
RESMF,18305024.577121794,58502,2032
RESSF,80035610.29560514,188100,2032
RESMF,18137762.118900433,58502,2033
RESSF,79294829.6814519,188100,2033
RESMF,17996191.16217665,58502,2034
RESSF,78686169.22625695,188100,2034
RESMF,17862528.99174863,58502,2035
RESSF,78127885.24718094,188100,2035
