year,original_gas,converted_to_hybrid,converted_to_electric,new_gas,new_electric,total
2025,213725,0,0,0,0,552260
2026,210647,1838,1239,2091,3430,557782
2027,208510,3141,2073,4158,6941,563361
2028,207526,3718,2479,6301,10432,568994
2029,206821,4146,2757,8397,14026,574684
2030,206394,4402,2928,10513,17657,580431
2031,206030,4616,3077,12693,21280,586235
2032,205774,4766,3184,14841,24995,592098
2033,205261,5086,3376,17022,28736,598020
2034,205090,5193,3440,19174,32564,604000
2035,205005,5236,3483,21441,36336,610038
