vintage_era,total_therms,equipment_count,avg_therms,year
1980-1999,25536133.246746805,53715,475.4004141626511,2025
2000-2009,30053546.678362437,73137,410.9212392956019,2025
2010-2014,8213651.698673432,22504,364.9863001543473,2025
2015+,5949397.400608803,20822,285.7265104509078,2025
pre-1980,41572323.61848666,76424,543.9694810332704,2025
1980-1999,24155249.183140118,53554,451.044724635697,2026
2000-2009,29141071.61088202,73064,398.84309113766045,2026
2010-2014,8069877.63626913,22495,358.7409484894034,2026
2015+,6460686.202997674,22959,281.40102804990084,2026
pre-1980,37297710.849680744,76042,490.4882939649239,2026
1980-1999,23671374.411935233,53393,443.3422810468644,2027
2000-2009,28673849.803765602,72991,392.840895504454,2027
2010-2014,7956209.331320351,22486,353.82946416972123,2027
2015+,6982955.900544903,25118,278.0060474777014,2027
pre-1980,36469220.32746786,75662,482.0018017957212,2027
1980-1999,23309180.008212328,53233,437.8708697276563,2028
2000-2009,28323486.310110908,72918,388.4292809746689,2028
2010-2014,7878775.138044667,22477,350.52609948145516,2028
2015+,7527055.320209934,27298,275.73651257271354,2028
pre-1980,35861875.020373434,75283,476.36086527334766,2028
1980-1999,22983444.089575548,53073,433.05341867947067,2029
2000-2009,28032375.26553636,72845,384.82222891806384,2029
2010-2014,7810617.229780034,22468,347.632954859357,2029
2015+,8075766.243754007,29500,273.7547879238646,2029
pre-1980,35278727.96472043,74907,470.967038657541,2029
1980-1999,22697939.047441088,52914,428.9590476516818,2030
2000-2009,27772943.569292303,72772,381.6432634707346,2030
2010-2014,7741815.052166867,22459,344.7088050299153,2030
2015+,8630030.676655555,31724,272.0347584370053,2030
pre-1980,34774963.682663396,74532,466.57762682691185,2030
1980-1999,22415798.731362965,52755,424.90377653991027,2031
2000-2009,27522670.100024406,72699,378.58388836193626,2031
2010-2014,7675015.798788171,22450,341.8715277856647,2031
2015+,9186679.40304418,33970,270.4350722120748,2031
pre-1980,34283577.03867451,74160,462.2920312658375,2031
1980-1999,22151364.95365699,52597,421.15263139831154,2032
2000-2009,27292694.28956088,72627,375.79267062608784,2032
2010-2014,7574359.928331688,22441,337.5232800825136,2032
2015+,9745942.001124779,36239,268.9351803616209,2032
pre-1980,33830592.428978994,73789,458.47744825080963,2032
1980-1999,21862807.36826716,52439,416.91884605479055,2033
2000-2009,27039591.84325692,72554,372.68230343271114,2033
2010-2014,7495146.885277196,22432,334.1274467402459,2033
2015+,10296621.513720905,38531,267.2295428024423,2033
pre-1980,33333618.36328764,73420,454.0127807584805,2033
1980-1999,21619575.55772352,52282,413.51852564407477,2034
2000-2009,26825880.724966325,72481,370.10914205055565,2034
2010-2014,7428594.304632817,22423,331.2935068738713,2034
2015+,10858788.92520686,40845,265.8535665370758,2034
pre-1980,32892689.097925402,73053,450.2578826047582,2034
1980-1999,21380849.097791724,52125,410.18415535331843,2035
2000-2009,26621865.258407246,72409,367.6596177050815,2035
2010-2014,7374817.951959112,22414,329.0273022200014,2035
2015+,11407970.917845665,43182,264.18347732494243,2035
pre-1980,32492548.081303976,72688,447.0139236366935,2035
