year,total_therms,premise_count,irp_upc_therms,use_per_customer,scenario_name
2025,111325052.64287813,213725,648.0,520.8798813563136,baseline
2026,104815570.42917745,213725,640.3,490.42260114248427,baseline
2027,103133061.08363388,213725,632.7,482.5502916534513,baseline
2028,101963813.86523545,213725,625.1,477.0794893682791,baseline
2029,100922646.9134178,213725,617.7,472.20796309939317,baseline
2030,100033141.84625766,213725,610.3,468.046049111043,baseline
2031,99166878.332317,213725,603.1,463.9928802541443,baseline
2032,98340634.87272693,213725,595.9,460.12696162230407,baseline
2033,97432591.80035233,213725,588.8,455.8783099794237,baseline
2034,96682360.3884336,213725,581.8,452.3680448634161,baseline
2035,95990414.23892957,213725,574.9,449.1304912337329,baseline
