year,total_equipment,gas_units,hybrid_units,electric_units,electrification_pct,hybrid_pct,avg_efficiency,units_replaced,units_repaired,units_malfunctioning,units_working,total_failures,end_use,total_premises,gas_fraction_of_nwn,hybrid_fraction_of_nwn,territory_gas_pct,territory_elec_pct
2025,246602,246602,0,0,0.0,0.0,0.8203,65135,2292,6743,239859,67428,space_heating,213725,100.0,0.0,38.7,61.3
2026,249068,245479,2152,1437,0.58,0.86,0.8542,68474,2199,7066,242002,70660,space_heating,215862,98.56,0.86,38.14,61.86
2027,251559,245413,3687,2459,0.98,1.47,0.8747,71882,2136,7399,244160,73993,space_heating,218021,97.56,1.47,37.75,62.25
2028,254074,246711,4417,2946,1.16,1.74,0.8811,75349,2114,7742,246332,77425,space_heating,220201,97.1,1.74,37.58,62.42
2029,256615,248334,4968,3313,1.29,1.94,0.8823,78796,2209,8096,248519,80956,space_heating,222403,96.77,1.94,37.45,62.55
2030,259181,250286,5336,3559,1.37,2.06,0.8822,82332,2315,8458,250723,84584,space_heating,224627,96.57,2.06,37.37,62.63
2031,261773,252360,5647,3766,1.44,2.16,0.8831,85960,2424,8831,252942,88308,space_heating,226873,96.4,2.16,37.31,62.69
2032,264391,254560,5898,3933,1.49,2.23,0.8818,90605,1613,9213,255178,92128,space_heating,229142,96.28,2.23,37.26,62.74
2033,267035,256452,6349,4234,1.59,2.38,0.883,94635,1510,9604,257431,96042,space_heating,231434,96.04,2.38,37.17,62.83
2034,269705,258797,6544,4364,1.62,2.43,0.8804,98752,1413,10005,259700,100049,space_heating,233748,95.96,2.43,37.13,62.87
2035,272402,261274,6676,4452,1.63,2.45,0.8777,102946,1331,10415,261987,104148,space_heating,236085,95.92,2.45,37.12,62.88
