year,space_heating,water_heating,cooking,clothes_drying,fireplace,other,estimated_total_upc,irp_upc,non_heating_offset,diff_vs_irp,diff_vs_irp_pct
2025,520.9,366.9,28.6,17.5,44.5,68.3,1046.7,648.0,525.8,398.7,61.5
2025,520.9,366.9,28.6,17.5,44.5,68.3,1046.7,648.0,525.8,398.7,61.5
2025,520.9,366.9,28.6,17.5,44.5,68.3,1046.7,648.0,525.8,398.7,61.5
2025,520.9,366.9,28.6,17.5,44.5,68.3,1046.7,648.0,525.8,398.7,61.5
2025,520.9,366.9,28.6,17.5,44.5,68.3,1046.7,648.0,525.8,398.7,61.5
2025,520.9,366.9,28.6,17.5,44.5,68.3,1046.7,648.0,525.8,398.7,61.5
2025,520.9,366.9,28.6,17.5,44.5,68.3,1046.7,648.0,525.8,398.7,61.5
2025,520.9,366.9,28.6,17.5,44.5,68.3,1046.7,648.0,525.8,398.7,61.5
2025,520.9,366.9,28.6,17.5,44.5,68.3,1046.7,648.0,525.8,398.7,61.5
2025,520.9,366.9,28.6,17.5,44.5,68.3,1046.7,648.0,525.8,398.7,61.5
2025,520.9,366.9,28.6,17.5,44.5,68.3,1046.7,648.0,525.8,398.7,61.5
2025,520.9,366.9,28.6,17.5,44.5,68.3,1046.7,648.0,525.8,398.7,61.5
2026,489.7,344.9,26.9,16.5,41.8,64.2,984.0,640.3,494.3,343.7,53.7
2026,489.7,344.9,26.9,16.5,41.8,64.2,984.0,640.3,494.3,343.7,53.7
2026,489.7,344.9,26.9,16.5,41.8,64.2,984.0,640.3,494.3,343.7,53.7
2026,489.7,344.9,26.9,16.5,41.8,64.2,984.0,640.3,494.3,343.7,53.7
2026,489.7,344.9,26.9,16.5,41.8,64.2,984.0,640.3,494.3,343.7,53.7
2026,489.7,344.9,26.9,16.5,41.8,64.2,984.0,640.3,494.3,343.7,53.7
2026,489.7,344.9,26.9,16.5,41.8,64.2,984.0,640.3,494.3,343.7,53.7
2026,489.7,344.9,26.9,16.5,41.8,64.2,984.0,640.3,494.3,343.7,53.7
2026,489.7,344.9,26.9,16.5,41.8,64.2,984.0,640.3,494.3,343.7,53.7
2026,489.7,344.9,26.9,16.5,41.8,64.2,984.0,640.3,494.3,343.7,53.7
2026,489.7,344.9,26.9,16.5,41.8,64.2,984.0,640.3,494.3,343.7,53.7
2026,489.7,344.9,26.9,16.5,41.8,64.2,984.0,640.3,494.3,343.7,53.7
2027,469.6,330.8,25.8,15.8,40.1,61.6,943.7,632.7,474.1,311.0,49.2
2027,469.6,330.8,25.8,15.8,40.1,61.6,943.7,632.7,474.1,311.0,49.2
2027,469.6,330.8,25.8,15.8,40.1,61.6,943.7,632.7,474.1,311.0,49.2
2027,469.6,330.8,25.8,15.8,40.1,61.6,943.7,632.7,474.1,311.0,49.2
2027,469.6,330.8,25.8,15.8,40.1,61.6,943.7,632.7,474.1,311.0,49.2
2027,469.6,330.8,25.8,15.8,40.1,61.6,943.7,632.7,474.1,311.0,49.2
2027,469.6,330.8,25.8,15.8,40.1,61.6,943.7,632.7,474.1,311.0,49.2
2027,469.6,330.8,25.8,15.8,40.1,61.6,943.7,632.7,474.1,311.0,49.2
2027,469.6,330.8,25.8,15.8,40.1,61.6,943.7,632.7,474.1,311.0,49.2
2027,469.6,330.8,25.8,15.8,40.1,61.6,943.7,632.7,474.1,311.0,49.2
2027,469.6,330.8,25.8,15.8,40.1,61.6,943.7,632.7,474.1,311.0,49.2
2027,469.6,330.8,25.8,15.8,40.1,61.6,943.7,632.7,474.1,311.0,49.2
2028,459.9,324.0,25.2,15.5,39.3,60.3,924.2,625.1,464.3,299.1,47.8
2028,459.9,324.0,25.2,15.5,39.3,60.3,924.2,625.1,464.3,299.1,47.8
2028,459.9,324.0,25.2,15.5,39.3,60.3,924.2,625.1,464.3,299.1,47.8
2028,459.9,324.0,25.2,15.5,39.3,60.3,924.2,625.1,464.3,299.1,47.8
2028,459.9,324.0,25.2,15.5,39.3,60.3,924.2,625.1,464.3,299.1,47.8
2028,459.9,324.0,25.2,15.5,39.3,60.3,924.2,625.1,464.3,299.1,47.8
2028,459.9,324.0,25.2,15.5,39.3,60.3,924.2,625.1,464.3,299.1,47.8
2028,459.9,324.0,25.2,15.5,39.3,60.3,924.2,625.1,464.3,299.1,47.8
2028,459.9,324.0,25.2,15.5,39.3,60.3,924.2,625.1,464.3,299.1,47.8
2028,459.9,324.0,25.2,15.5,39.3,60.3,924.2,625.1,464.3,299.1,47.8
2028,459.9,324.0,25.2,15.5,39.3,60.3,924.2,625.1,464.3,299.1,47.8
2028,459.9,324.0,25.2,15.5,39.3,60.3,924.2,625.1,464.3,299.1,47.8
2029,453.5,319.5,24.9,15.2,38.7,59.5,911.4,617.7,457.8,293.7,47.5
2029,453.5,319.5,24.9,15.2,38.7,59.5,911.4,617.7,457.8,293.7,47.5
2029,453.5,319.5,24.9,15.2,38.7,59.5,911.4,617.7,457.8,293.7,47.5
2029,453.5,319.5,24.9,15.2,38.7,59.5,911.4,617.7,457.8,293.7,47.5
2029,453.5,319.5,24.9,15.2,38.7,59.5,911.4,617.7,457.8,293.7,47.5
2029,453.5,319.5,24.9,15.2,38.7,59.5,911.4,617.7,457.8,293.7,47.5
2029,453.5,319.5,24.9,15.2,38.7,59.5,911.4,617.7,457.8,293.7,47.5
2029,453.5,319.5,24.9,15.2,38.7,59.5,911.4,617.7,457.8,293.7,47.5
2029,453.5,319.5,24.9,15.2,38.7,59.5,911.4,617.7,457.8,293.7,47.5
2029,453.5,319.5,24.9,15.2,38.7,59.5,911.4,617.7,457.8,293.7,47.5
2029,453.5,319.5,24.9,15.2,38.7,59.5,911.4,617.7,457.8,293.7,47.5
2029,453.5,319.5,24.9,15.2,38.7,59.5,911.4,617.7,457.8,293.7,47.5
2030,448.3,315.8,24.6,15.1,38.3,58.8,900.9,610.3,452.6,290.6,47.6
2030,448.3,315.8,24.6,15.1,38.3,58.8,900.9,610.3,452.6,290.6,47.6
2030,448.3,315.8,24.6,15.1,38.3,58.8,900.9,610.3,452.6,290.6,47.6
2030,448.3,315.8,24.6,15.1,38.3,58.8,900.9,610.3,452.6,290.6,47.6
2030,448.3,315.8,24.6,15.1,38.3,58.8,900.9,610.3,452.6,290.6,47.6
2030,448.3,315.8,24.6,15.1,38.3,58.8,900.9,610.3,452.6,290.6,47.6
2030,448.3,315.8,24.6,15.1,38.3,58.8,900.9,610.3,452.6,290.6,47.6
2030,448.3,315.8,24.6,15.1,38.3,58.8,900.9,610.3,452.6,290.6,47.6
2030,448.3,315.8,24.6,15.1,38.3,58.8,900.9,610.3,452.6,290.6,47.6
2030,448.3,315.8,24.6,15.1,38.3,58.8,900.9,610.3,452.6,290.6,47.6
2030,448.3,315.8,24.6,15.1,38.3,58.8,900.9,610.3,452.6,290.6,47.6
2030,448.3,315.8,24.6,15.1,38.3,58.8,900.9,610.3,452.6,290.6,47.6
2031,442.9,312.0,24.3,14.9,37.8,58.1,890.0,603.1,447.1,286.9,47.6
2031,442.9,312.0,24.3,14.9,37.8,58.1,890.0,603.1,447.1,286.9,47.6
2031,442.9,312.0,24.3,14.9,37.8,58.1,890.0,603.1,447.1,286.9,47.6
2031,442.9,312.0,24.3,14.9,37.8,58.1,890.0,603.1,447.1,286.9,47.6
2031,442.9,312.0,24.3,14.9,37.8,58.1,890.0,603.1,447.1,286.9,47.6
2031,442.9,312.0,24.3,14.9,37.8,58.1,890.0,603.1,447.1,286.9,47.6
2031,442.9,312.0,24.3,14.9,37.8,58.1,890.0,603.1,447.1,286.9,47.6
2031,442.9,312.0,24.3,14.9,37.8,58.1,890.0,603.1,447.1,286.9,47.6
2031,442.9,312.0,24.3,14.9,37.8,58.1,890.0,603.1,447.1,286.9,47.6
2031,442.9,312.0,24.3,14.9,37.8,58.1,890.0,603.1,447.1,286.9,47.6
2031,442.9,312.0,24.3,14.9,37.8,58.1,890.0,603.1,447.1,286.9,47.6
2031,442.9,312.0,24.3,14.9,37.8,58.1,890.0,603.1,447.1,286.9,47.6
2032,438.7,309.0,24.1,14.7,37.5,57.6,881.6,595.9,442.9,285.7,47.9
2032,438.7,309.0,24.1,14.7,37.5,57.6,881.6,595.9,442.9,285.7,47.9
2032,438.7,309.0,24.1,14.7,37.5,57.6,881.6,595.9,442.9,285.7,47.9
2032,438.7,309.0,24.1,14.7,37.5,57.6,881.6,595.9,442.9,285.7,47.9
2032,438.7,309.0,24.1,14.7,37.5,57.6,881.6,595.9,442.9,285.7,47.9
2032,438.7,309.0,24.1,14.7,37.5,57.6,881.6,595.9,442.9,285.7,47.9
2032,438.7,309.0,24.1,14.7,37.5,57.6,881.6,595.9,442.9,285.7,47.9
2032,438.7,309.0,24.1,14.7,37.5,57.6,881.6,595.9,442.9,285.7,47.9
2032,438.7,309.0,24.1,14.7,37.5,57.6,881.6,595.9,442.9,285.7,47.9
2032,438.7,309.0,24.1,14.7,37.5,57.6,881.6,595.9,442.9,285.7,47.9
2032,438.7,309.0,24.1,14.7,37.5,57.6,881.6,595.9,442.9,285.7,47.9
2032,438.7,309.0,24.1,14.7,37.5,57.6,881.6,595.9,442.9,285.7,47.9
2033,432.9,304.9,23.8,14.5,37.0,56.8,869.9,588.8,437.0,281.1,47.7
2033,432.9,304.9,23.8,14.5,37.0,56.8,869.9,588.8,437.0,281.1,47.7
2033,432.9,304.9,23.8,14.5,37.0,56.8,869.9,588.8,437.0,281.1,47.7
2033,432.9,304.9,23.8,14.5,37.0,56.8,869.9,588.8,437.0,281.1,47.7
2033,432.9,304.9,23.8,14.5,37.0,56.8,869.9,588.8,437.0,281.1,47.7
2033,432.9,304.9,23.8,14.5,37.0,56.8,869.9,588.8,437.0,281.1,47.7
2033,432.9,304.9,23.8,14.5,37.0,56.8,869.9,588.8,437.0,281.1,47.7
2033,432.9,304.9,23.8,14.5,37.0,56.8,869.9,588.8,437.0,281.1,47.7
2033,432.9,304.9,23.8,14.5,37.0,56.8,869.9,588.8,437.0,281.1,47.7
2033,432.9,304.9,23.8,14.5,37.0,56.8,869.9,588.8,437.0,281.1,47.7
2033,432.9,304.9,23.8,14.5,37.0,56.8,869.9,588.8,437.0,281.1,47.7
2033,432.9,304.9,23.8,14.5,37.0,56.8,869.9,588.8,437.0,281.1,47.7
2034,429.6,302.6,23.6,14.4,36.7,56.4,863.3,581.8,433.7,281.5,48.4
2034,429.6,302.6,23.6,14.4,36.7,56.4,863.3,581.8,433.7,281.5,48.4
2034,429.6,302.6,23.6,14.4,36.7,56.4,863.3,581.8,433.7,281.5,48.4
2034,429.6,302.6,23.6,14.4,36.7,56.4,863.3,581.8,433.7,281.5,48.4
2034,429.6,302.6,23.6,14.4,36.7,56.4,863.3,581.8,433.7,281.5,48.4
2034,429.6,302.6,23.6,14.4,36.7,56.4,863.3,581.8,433.7,281.5,48.4
2034,429.6,302.6,23.6,14.4,36.7,56.4,863.3,581.8,433.7,281.5,48.4
2034,429.6,302.6,23.6,14.4,36.7,56.4,863.3,581.8,433.7,281.5,48.4
2034,429.6,302.6,23.6,14.4,36.7,56.4,863.3,581.8,433.7,281.5,48.4
2034,429.6,302.6,23.6,14.4,36.7,56.4,863.3,581.8,433.7,281.5,48.4
2034,429.6,302.6,23.6,14.4,36.7,56.4,863.3,581.8,433.7,281.5,48.4
2034,429.6,302.6,23.6,14.4,36.7,56.4,863.3,581.8,433.7,281.5,48.4
2035,426.5,300.4,23.4,14.3,36.4,56.0,857.1,574.9,430.6,282.2,49.1
2035,426.5,300.4,23.4,14.3,36.4,56.0,857.1,574.9,430.6,282.2,49.1
2035,426.5,300.4,23.4,14.3,36.4,56.0,857.1,574.9,430.6,282.2,49.1
2035,426.5,300.4,23.4,14.3,36.4,56.0,857.1,574.9,430.6,282.2,49.1
2035,426.5,300.4,23.4,14.3,36.4,56.0,857.1,574.9,430.6,282.2,49.1
2035,426.5,300.4,23.4,14.3,36.4,56.0,857.1,574.9,430.6,282.2,49.1
2035,426.5,300.4,23.4,14.3,36.4,56.0,857.1,574.9,430.6,282.2,49.1
2035,426.5,300.4,23.4,14.3,36.4,56.0,857.1,574.9,430.6,282.2,49.1
2035,426.5,300.4,23.4,14.3,36.4,56.0,857.1,574.9,430.6,282.2,49.1
2035,426.5,300.4,23.4,14.3,36.4,56.0,857.1,574.9,430.6,282.2,49.1
2035,426.5,300.4,23.4,14.3,36.4,56.0,857.1,574.9,430.6,282.2,49.1
2035,426.5,300.4,23.4,14.3,36.4,56.0,857.1,574.9,430.6,282.2,49.1
