year,min_therms,p10_therms,p25_therms,median_therms,p75_therms,p90_therms,max_therms,mean_therms,std_therms,premise_count
2025,184.3,302.8,386.1,454.3,613.3,779.8,4497.3,520.9,256.8,213725
2026,175.0,287.6,366.6,431.3,582.3,740.4,4270.1,494.6,243.8,213725
2027,169.6,278.5,355.1,417.8,564.1,717.3,4136.5,479.1,236.2,213725
2028,167.7,275.5,351.3,413.2,557.9,709.4,4091.2,473.8,233.6,213725
2029,167.0,274.4,349.9,411.6,555.6,706.6,4074.7,471.9,232.7,213725
2030,166.8,274.0,349.3,411.0,554.8,705.5,4068.4,471.2,232.3,213725
2031,166.4,273.3,348.5,410.0,553.5,703.9,4059.1,470.1,231.8,213725
2032,166.5,273.5,348.7,410.2,553.8,704.2,4061.1,470.4,231.9,213725
2033,165.9,272.6,347.5,408.8,551.9,701.8,4047.5,468.8,231.1,213725
2034,166.3,273.2,348.3,409.8,553.2,703.4,4056.7,469.8,231.7,213725
2035,166.7,273.9,349.2,410.9,554.7,705.3,4067.7,471.1,232.3,213725
