segment,total_therms,equipment_count,year
RESMF,20886914.33015099,702024,2025
RESSF,90438138.31272714,2257200,2025
RESMF,19831752.145811982,702024,2026
RESSF,85869397.23105101,2257200,2026
RESMF,19210933.2660102,702024,2027
RESSF,83181316.89370708,2257200,2027
RESMF,19000600.80766454,702024,2028
RESSF,82270599.51061994,2257200,2028
RESMF,18924341.347151984,702024,2029
RESSF,81940404.08163151,2257200,2029
RESMF,18894953.42862036,702024,2030
RESSF,81813157.49082947,2257200,2030
RESMF,18851713.555316307,702024,2031
RESSF,81625933.39536546,2257200,2031
RESMF,18861034.381718494,702024,2032
RESSF,81666291.59160382,2257200,2032
RESMF,18797828.233090974,702024,2033
RESSF,81392615.62772347,2257200,2033
RESMF,18840466.55128043,702024,2034
RESSF,81577235.05292375,2257200,2034
RESMF,18891746.648376167,702024,2035
RESSF,81799272.47025254,2257200,2035
