vintage_era,total_therms,equipment_count,avg_therms,year
1980-1999,25536133.246746805,644580,39.61670118022093,2025
2000-2009,30053546.678362437,877644,34.24343660796683,2025
2010-2014,8213651.698673433,270048,30.41552501286228,2025
2015+,5949397.400608803,249864,23.810542537575653,2025
pre-1980,41572323.61848666,917088,45.330790086105864,2025
1980-1999,24173354.391236704,642646,37.61535027252438,2026
2000-2009,28506758.97671128,876766,32.51353152005356,2026
2010-2014,7795596.671955637,269940,28.87899782157382,2026
2015+,5697159.206745845,252001,22.607684916908443,2026
pre-1980,39274836.89669078,912503,43.04077564313846,2026
1980-1999,23346372.611184023,640718,36.437828516108524,2027
2000-2009,27586784.935608797,875890,31.495718566953382,2027
2010-2014,7548539.773138043,269832,27.974961357948807,2027
2015+,5566095.724118262,254160,21.89996743829974,2027
pre-1980,37855119.0413646,907940,41.69341480864881,2027
1980-1999,23021496.221434377,638796,36.03888600027924,2028
2000-2009,27257460.61169295,875014,31.15088514205824,2028
2010-2014,7462905.757312326,269724,27.668675228427304,2028
2015+,5552374.097043736,256340,21.660193871591385,2028
pre-1980,37253443.53835685,903400,41.23693108075808,2028
1980-1999,22860325.41158678,636880,35.89424288969159,2029
2000-2009,27120914.3780667,874139,31.02586016419208,2029
2010-2014,7429976.945726636,269616,27.557626200695196,2029
2015+,5577593.801772465,258542,21.573260057447012,2029
pre-1980,36918406.137156054,898883,41.07142546600175,2029
1980-1999,22756337.86158623,634969,35.83850213409825,2030
2000-2009,27051723.375533633,873265,30.977679599587333,2030
2010-2014,7415467.211463676,269508,27.514831513215476,2030
2015+,5616836.688432649,260766,21.539758589818646,2030
pre-1980,36676786.58520489,894389,41.00764497909175,2030
1980-1999,22636145.351147942,633064,35.75648805041503,2031
2000-2009,26962804.730402473,872391,30.906789192463556,2031
2010-2014,7395560.046917785,269401,27.45186560895388,2031
2015+,5652250.509802087,263012,21.490466251737892,2031
pre-1980,36409887.621050015,889917,40.91380164785032,2031
1980-1999,22579402.165590513,631165,35.77416708085923,2032
2000-2009,26949171.8669025,871519,30.922070393075195,2032
2010-2014,7396250.355973672,269293,27.465438596523757,2032
2015+,5703831.121314359,265281,21.501091752950114,2032
pre-1980,36245733.274753936,885467,40.93403060165306,2032
1980-1999,22436241.653332543,629272,35.6542824936316,2033
2000-2009,26831987.474400423,870647,30.81844590792873,2033
2010-2014,7368508.087274017,269185,27.373397801786936,2033
2015+,5733832.085650768,267573,21.42903837700653,2033
pre-1980,35943660.72359721,881040,40.796854539631816,2033
1980-1999,22419664.85693169,627384,35.7351555935945,2034
2000-2009,26865976.471388984,869777,30.88835008443427,2034
2010-2014,7382258.72963271,269077,27.435487721480136,2034
2015+,5796537.164726621,269887,21.477644957803157,2034
pre-1980,35845072.43479033,876635,40.889392318114524,2034
1980-1999,22413250.223881878,625502,35.83241975866085,2035
2000-2009,26912154.443172153,868907,30.972422184620626,2035
2010-2014,7399408.219283545,268970,27.5101617997678,2035
2015+,5862644.087614004,272224,21.536102943215894,2035
pre-1980,35762929.76844633,872252,41.00068531622322,2035
