year,total_therms,use_per_customer,premise_count,irp_upc_therms,scenario_name
2025,111325052.64287814,520.8798813563137,213725,648.0,baseline_monthly
2026,105701149.376863,489.67001777461064,213725,640.3,baseline_monthly
2027,102392250.15971728,469.6439799822828,213725,632.7,baseline_monthly
2028,101271200.31828447,459.9034532916947,213725,625.1,baseline_monthly
2029,100864745.42878349,453.52241394578084,213725,617.7,baseline_monthly
2030,100708110.91944984,448.33484362721236,213725,610.3,baseline_monthly
2031,100477646.95068178,442.8805849558201,213725,603.1,baseline_monthly
2032,100527325.9733223,438.7119165116927,213725,595.9,baseline_monthly
2033,100190443.86081444,432.91151628893954,213725,588.8,baseline_monthly
2034,100417701.60420418,429.5981210714281,213725,581.8,baseline_monthly
2035,100691019.11862871,426.5032472144723,213725,574.9,baseline_monthly
